UTC time,oil,wind,biomass,hydro,nat_gas,solar,coal
2023-01-01 00:00:00,0.0,3.0,3.0,24.0,391.0,0.0,0.0
2023-01-01 01:00:00,0.0,3.0,3.0,24.0,379.0,0.0,0.0
2023-01-01 02:00:00,0.0,4.0,3.0,24.0,380.0,0.0,0.0
2023-01-01 03:00:00,0.0,2.0,3.0,24.0,380.0,0.0,0.0
2023-01-01 04:00:00,0.0,2.0,2.0,24.0,394.0,0.0,0.0
2023-01-01 05:00:00,0.0,2.0,2.0,24.0,403.0,0.0,0.0
2023-01-01 06:00:00,0.0,2.0,2.0,24.0,464.0,0.0,0.0
2023-01-01 07:00:00,0.0,2.0,2.0,24.0,514.0,0.0,0.0
2023-01-01 08:00:00,0.0,2.0,2.0,24.0,534.0,0.0,0.0
2023-01-01 09:00:00,0.0,1.0,2.0,24.0,533.0,0.0,0.0
2023-01-01 10:00:00,0.0,1.0,2.0,24.0,528.0,1.0,0.0
2023-01-01 11:00:00,0.0,2.0,2.0,24.0,527.0,1.0,0.0
2023-01-01 12:00:00,0.0,2.0,3.0,24.0,529.0,0.0,0.0
2023-01-01 13:00:00,0.0,2.0,3.0,24.0,534.0,0.0,0.0
2023-01-01 14:00:00,0.0,2.0,3.0,24.0,566.0,0.0,0.0
2023-01-01 15:00:00,0.0,3.0,3.0,24.0,620.0,0.0,0.0
2023-01-01 16:00:00,0.0,3.0,3.0,24.0,613.0,0.0,0.0
2023-01-01 17:00:00,0.0,3.0,2.0,24.0,603.0,0.0,0.0
2023-01-01 18:00:00,0.0,3.0,2.0,24.0,578.0,0.0,0.0
2023-01-01 19:00:00,0.0,3.0,2.0,24.0,534.0,0.0,0.0
2023-01-01 20:00:00,0.0,4.0,2.0,24.0,488.0,0.0,0.0
2023-01-01 21:00:00,0.0,4.0,2.0,24.0,439.0,0.0,0.0
2023-01-01 22:00:00,0.0,3.0,2.0,24.0,405.0,0.0,0.0
2023-01-01 23:00:00,0.0,4.0,2.0,24.0,382.0,0.0,0.0
2023-01-02 00:00:00,0.0,4.0,2.0,24.0,380.0,0.0,0.0
2023-01-02 01:00:00,0.0,3.0,2.0,24.0,380.0,0.0,0.0
2023-01-02 02:00:00,0.0,3.0,2.0,24.0,380.0,0.0,0.0
2023-01-02 03:00:00,0.0,3.0,2.0,24.0,385.0,0.0,0.0
2023-01-02 04:00:00,0.0,3.0,2.0,24.0,450.0,0.0,0.0
2023-01-02 05:00:00,0.0,2.0,2.0,24.0,523.0,0.0,0.0
2023-01-02 06:00:00,0.0,1.0,2.0,24.0,605.0,0.0,0.0
2023-01-02 07:00:00,0.0,1.0,2.0,24.0,663.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,2.0,24.0,676.0,1.0,0.0
2023-01-02 09:00:00,0.0,0.0,2.0,24.0,669.0,1.0,0.0
2023-01-02 10:00:00,0.0,0.0,2.0,24.0,655.0,1.0,0.0
2023-01-02 11:00:00,0.0,0.0,2.0,24.0,641.0,1.0,0.0
2023-01-02 12:00:00,0.0,0.0,2.0,24.0,646.0,0.0,0.0
2023-01-02 13:00:00,0.0,0.0,2.0,24.0,660.0,0.0,0.0
2023-01-02 14:00:00,0.0,1.0,3.0,24.0,684.0,0.0,0.0
2023-01-02 15:00:00,0.0,3.0,3.0,24.0,709.0,0.0,0.0
2023-01-02 16:00:00,0.0,3.0,2.0,24.0,691.0,0.0,0.0
2023-01-02 17:00:00,0.0,4.0,2.0,24.0,676.0,0.0,0.0
2023-01-02 18:00:00,0.0,4.0,2.0,24.0,639.0,0.0,0.0
2023-01-02 19:00:00,0.0,3.0,2.0,24.0,590.0,0.0,0.0
2023-01-02 20:00:00,0.0,4.0,2.0,24.0,527.0,0.0,0.0
2023-01-02 21:00:00,0.0,4.0,2.0,24.0,460.0,0.0,0.0
2023-01-02 22:00:00,0.0,4.0,3.0,24.0,425.0,0.0,0.0
2023-01-02 23:00:00,0.0,4.0,3.0,24.0,391.0,0.0,0.0
2023-01-03 00:00:00,0.0,4.0,3.0,24.0,381.0,0.0,0.0
2023-01-03 01:00:00,0.0,4.0,3.0,24.0,381.0,0.0,0.0
2023-01-03 02:00:00,0.0,4.0,3.0,24.0,383.0,0.0,0.0
2023-01-03 03:00:00,0.0,4.0,2.0,24.0,403.0,0.0,0.0
2023-01-03 04:00:00,0.0,4.0,2.0,24.0,476.0,0.0,0.0
2023-01-03 05:00:00,0.0,3.0,2.0,24.0,539.0,0.0,0.0
2023-01-03 06:00:00,0.0,2.0,2.0,24.0,616.0,0.0,0.0
2023-01-03 07:00:00,0.0,2.0,2.0,24.0,671.0,0.0,0.0
2023-01-03 08:00:00,0.0,2.0,2.0,24.0,677.0,1.0,0.0
2023-01-03 09:00:00,0.0,2.0,2.0,23.0,667.0,1.0,0.0
2023-01-03 10:00:00,0.0,2.0,2.0,23.0,656.0,1.0,0.0
2023-01-03 11:00:00,0.0,1.0,2.0,23.0,652.0,1.0,0.0
2023-01-03 12:00:00,0.0,1.0,2.0,24.0,657.0,0.0,0.0
2023-01-03 13:00:00,0.0,2.0,2.0,24.0,666.0,0.0,0.0
2023-01-03 14:00:00,0.0,2.0,2.0,24.0,687.0,0.0,0.0
2023-01-03 15:00:00,0.0,3.0,3.0,24.0,717.0,0.0,0.0
2023-01-03 16:00:00,0.0,5.0,3.0,24.0,678.0,0.0,0.0
2023-01-03 17:00:00,0.0,5.0,2.0,24.0,642.0,0.0,0.0
2023-01-03 18:00:00,0.0,3.0,2.0,24.0,633.0,0.0,0.0
2023-01-03 19:00:00,0.0,2.0,2.0,24.0,589.0,0.0,0.0
2023-01-03 20:00:00,0.0,2.0,2.0,24.0,525.0,0.0,0.0
2023-01-03 21:00:00,0.0,3.0,2.0,24.0,458.0,0.0,0.0
2023-01-03 22:00:00,0.0,3.0,2.0,24.0,424.0,0.0,0.0
