,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
0,2019-01-01 00:00:00,408.82,2518.0,295.0,2088.0,21.0,0.0,10.0,16.0
1,2019-01-01 01:00:00,394.54,2327.0,298.0,2087.0,21.0,0.0,13.0,16.0
2,2019-01-01 02:00:00,390.98,2296.0,298.0,2088.0,21.0,0.0,26.0,16.0
3,2019-01-01 03:00:00,390.47,2286.0,295.0,2090.0,19.0,0.0,23.0,16.0
4,2019-01-01 04:00:00,389.67,2276.0,297.0,2089.0,20.0,0.0,24.0,15.0
5,2019-01-01 05:00:00,387.74,2288.0,298.0,2090.0,25.0,0.0,51.0,17.0
6,2019-01-01 06:00:00,395.83,2408.0,298.0,2088.0,46.0,9.0,38.0,15.0
7,2019-01-01 07:00:00,408.84,2643.0,296.0,2088.0,58.0,37.0,43.0,16.0
8,2019-01-01 08:00:00,415.73,2762.0,293.0,2088.0,49.0,72.0,30.0,16.0
9,2019-01-01 09:00:00,410.66,2681.0,289.0,2087.0,31.0,95.0,24.0,15.0
10,2019-01-01 10:00:00,394.51,2449.0,287.0,2088.0,22.0,110.0,16.0,15.0
11,2019-01-01 11:00:00,394.18,2408.0,290.0,2088.0,23.0,81.0,10.0,15.0
12,2019-01-01 12:00:00,396.07,2402.0,290.0,2088.0,27.0,53.0,4.0,16.0
13,2019-01-01 13:00:00,414.79,2638.0,292.0,2089.0,38.0,19.0,3.0,15.0
14,2019-01-01 14:00:00,430.73,2902.0,294.0,2089.0,58.0,5.0,10.0,15.0
15,2019-01-01 15:00:00,414.81,2939.0,294.0,2091.0,281.0,0.0,25.0,17.0
16,2019-01-01 16:00:00,404.48,2923.0,295.0,2090.0,418.0,0.0,21.0,15.0
17,2019-01-01 17:00:00,413.47,2919.0,299.0,2090.0,277.0,0.0,33.0,15.0
18,2019-01-01 18:00:00,422.88,2919.0,296.0,2089.0,137.0,0.0,49.0,15.0
19,2019-01-01 19:00:00,419.89,2908.0,299.0,2090.0,172.0,0.0,43.0,15.0
20,2019-01-01 20:00:00,419.58,2914.0,298.0,2090.0,183.0,0.0,41.0,15.0
21,2019-01-01 21:00:00,423.36,2839.0,297.0,2088.0,93.0,0.0,25.0,14.0
22,2019-01-01 22:00:00,423.13,2722.0,295.0,2090.0,21.0,0.0,4.0,15.0
23,2019-01-01 23:00:00,408.82,2518.0,295.0,2088.0,21.0,0.0,10.0,16.0
24,2019-01-02 00:00:00,394.54,2327.0,298.0,2087.0,21.0,0.0,13.0,16.0
