,Solar
2019-01-06 15:00:00+01:00,22.0
2019-01-06 16:00:00+01:00,1.0
2019-01-06 17:00:00+01:00,0.0
2019-01-06 18:00:00+01:00,0.0
2019-01-06 19:00:00+01:00,0.0
2019-01-06 20:00:00+01:00,0.0
2019-01-06 21:00:00+01:00,0.0
2019-01-06 22:00:00+01:00,0.0
2019-01-06 23:00:00+01:00,0.0
2019-01-07 00:00:00+01:00,0.0
2019-01-07 01:00:00+01:00,0.0
2019-01-07 02:00:00+01:00,0.0
2019-01-07 03:00:00+01:00,0.0
2019-01-07 04:00:00+01:00,0.0
2019-01-07 05:00:00+01:00,0.0
2019-01-07 06:00:00+01:00,0.0
2019-01-07 07:00:00+01:00,0.0
2019-01-07 08:00:00+01:00,17.0
2019-01-07 09:00:00+01:00,66.0
2019-01-07 10:00:00+01:00,121.0
2019-01-07 11:00:00+01:00,157.0
2019-01-07 12:00:00+01:00,162.0
2019-01-07 13:00:00+01:00,145.0
2019-01-07 14:00:00+01:00,87.0
2019-01-07 15:00:00+01:00,31.0
2019-01-07 16:00:00+01:00,3.0
2019-01-07 17:00:00+01:00,0.0
2019-01-07 18:00:00+01:00,0.0
2019-01-07 19:00:00+01:00,0.0
2019-01-07 20:00:00+01:00,0.0
2019-01-07 21:00:00+01:00,0.0
2019-01-07 22:00:00+01:00,0.0
2019-01-07 23:00:00+01:00,0.0
2019-01-08 00:00:00+01:00,0.0
2019-01-08 01:00:00+01:00,0.0
2019-01-08 02:00:00+01:00,0.0
2019-01-08 03:00:00+01:00,0.0
2019-01-08 04:00:00+01:00,0.0
2019-01-08 05:00:00+01:00,0.0
2019-01-08 06:00:00+01:00,0.0
2019-01-08 07:00:00+01:00,0.0
2019-01-08 08:00:00+01:00,11.0
2019-01-08 09:00:00+01:00,57.0
2019-01-08 10:00:00+01:00,130.0
2019-01-08 11:00:00+01:00,175.0
2019-01-08 12:00:00+01:00,191.0
2019-01-08 13:00:00+01:00,169.0
2019-01-08 14:00:00+01:00,107.0
2019-01-08 15:00:00+01:00,25.0
2019-01-08 16:00:00+01:00,1.0
2019-01-08 17:00:00+01:00,0.0
2019-01-08 18:00:00+01:00,0.0
2019-01-08 19:00:00+01:00,0.0
2019-01-08 20:00:00+01:00,0.0
2019-01-08 21:00:00+01:00,0.0
2019-01-08 22:00:00+01:00,0.0
2019-01-08 23:00:00+01:00,0.0
2019-01-09 00:00:00+01:00,0.0
