,UTC time,carbon_intensity,coal,nat_gas,solar,wind
0,2019-01-01 00:00:00,820.0,601.0,0.0,0.0,0.0
1,2019-01-01 01:00:00,820.0,600.0,0.0,0.0,0.0
2,2019-01-01 02:00:00,820.0,598.0,0.0,0.0,0.0
3,2019-01-01 03:00:00,820.0,599.0,0.0,0.0,0.0
4,2019-01-01 04:00:00,820.0,599.0,0.0,0.0,0.0
5,2019-01-01 05:00:00,820.0,600.0,0.0,0.0,0.0
6,2019-01-01 06:00:00,820.0,599.0,0.0,0.0,0.0
7,2019-01-01 07:00:00,820.0,601.0,0.0,0.0,0.0
8,2019-01-01 08:00:00,820.0,599.0,0.0,0.0,0.0
9,2019-01-01 09:00:00,820.0,611.0,0.0,0.0,0.0
10,2019-01-01 10:00:00,820.0,611.0,0.0,0.0,0.0
11,2019-01-01 11:00:00,820.0,587.0,0.0,0.0,0.0
12,2019-01-01 12:00:00,820.0,586.0,0.0,0.0,0.0
13,2019-01-01 13:00:00,820.0,587.0,0.0,0.0,0.0
14,2019-01-01 14:00:00,820.0,586.0,0.0,0.0,0.0
15,2019-01-01 15:00:00,820.0,588.0,0.0,0.0,0.0
16,2019-01-01 16:00:00,820.0,609.0,0.0,0.0,0.0
17,2019-01-01 17:00:00,820.0,588.0,0.0,0.0,0.0
18,2019-01-01 18:00:00,820.0,595.0,0.0,0.0,0.0
19,2019-01-01 19:00:00,820.0,595.0,0.0,0.0,0.0
20,2019-01-01 20:00:00,820.0,594.0,0.0,0.0,0.0
21,2019-01-01 21:00:00,820.0,594.0,0.0,0.0,0.0
22,2019-01-01 22:00:00,820.0,596.0,0.0,0.0,0.0
23,2019-01-01 23:00:00,820.0,588.0,0.0,0.0,0.0
24,2019-01-02 00:00:00,820.0,603.0,0.0,0.0,0.0
25,2019-01-02 01:00:00,820.0,602.0,0.0,0.0,0.0
26,2019-01-02 02:00:00,820.0,597.0,0.0,0.0,0.0
27,2019-01-02 03:00:00,820.0,595.0,0.0,0.0,0.0
28,2019-01-02 04:00:00,820.0,589.0,0.0,0.0,0.0
29,2019-01-02 05:00:00,820.0,610.0,0.0,0.0,0.0
30,2019-01-02 06:00:00,820.0,611.0,0.0,0.0,0.0
31,2019-01-02 07:00:00,820.0,588.0,0.0,0.0,0.0
32,2019-01-02 08:00:00,820.0,586.0,0.0,0.0,0.0
33,2019-01-02 09:00:00,820.0,589.0,0.0,0.0,0.0
34,2019-01-02 10:00:00,820.0,586.0,0.0,0.0,0.0
35,2019-01-02 11:00:00,820.0,587.0,0.0,0.0,0.0
36,2019-01-02 12:00:00,820.0,615.0,0.0,0.0,0.0
37,2019-01-02 13:00:00,820.0,616.0,0.0,0.0,0.0
38,2019-01-02 14:00:00,820.0,616.0,0.0,0.0,0.0
39,2019-01-02 15:00:00,820.0,620.0,0.0,0.0,0.0
40,2019-01-02 16:00:00,820.0,618.0,0.0,0.0,0.0
41,2019-01-02 17:00:00,820.0,619.0,0.0,0.0,0.0
42,2019-01-02 18:00:00,820.0,618.0,0.0,0.0,0.0
43,2019-01-02 19:00:00,820.0,600.0,0.0,0.0,0.0
44,2019-01-02 20:00:00,820.0,598.0,0.0,0.0,0.0
45,2019-01-02 21:00:00,820.0,598.0,0.0,0.0,0.0
46,2019-01-02 22:00:00,820.0,595.0,0.0,0.0,0.0
47,2019-01-02 23:00:00,820.0,600.0,0.0,0.0,0.0
48,2019-01-03 00:00:00,820.0,599.0,0.0,0.0,0.0
49,2019-01-03 01:00:00,820.0,601.0,0.0,0.0,0.0
50,2019-01-03 02:00:00,820.0,599.0,0.0,0.0,0.0
51,2019-01-03 03:00:00,820.0,599.0,0.0,0.0,0.0
52,2019-01-03 04:00:00,820.0,598.0,0.0,0.0,0.0
53,2019-01-03 05:00:00,820.0,599.0,0.0,0.0,0.0
54,2019-01-03 06:00:00,820.0,599.0,0.0,0.0,0.0
55,2019-01-03 07:00:00,820.0,586.0,0.0,0.0,0.0
56,2019-01-03 08:00:00,820.0,588.0,0.0,0.0,0.0
57,2019-01-03 09:00:00,820.0,609.0,0.0,0.0,0.0
58,2019-01-03 10:00:00,820.0,589.0,0.0,0.0,0.0
59,2019-01-03 11:00:00,820.0,610.0,0.0,0.0,0.0
60,2019-01-03 12:00:00,820.0,612.0,0.0,0.0,0.0
61,2019-01-03 13:00:00,820.0,611.0,0.0,0.0,0.0
62,2019-01-03 14:00:00,820.0,589.0,0.0,0.0,0.0
63,2019-01-03 15:00:00,820.0,596.0,0.0,0.0,0.0
64,2019-01-03 16:00:00,820.0,596.0,0.0,0.0,0.0
65,2019-01-03 17:00:00,820.0,610.0,0.0,0.0,0.0
66,2019-01-03 18:00:00,820.0,597.0,0.0,0.0,0.0
67,2019-01-03 19:00:00,820.0,594.0,0.0,0.0,0.0
68,2019-01-03 20:00:00,820.0,591.0,0.0,0.0,0.0
69,2019-01-03 21:00:00,820.0,590.0,0.0,0.0,0.0
70,2019-01-03 22:00:00,820.0,591.0,0.0,0.0,0.0
71,2019-01-03 23:00:00,820.0,591.0,0.0,0.0,0.0
72,2019-01-04 00:00:00,820.0,600.0,0.0,0.0,0.0
73,2019-01-04 01:00:00,820.0,594.0,0.0,0.0,0.0
74,2019-01-04 02:00:00,820.0,593.0,0.0,0.0,0.0
75,2019-01-04 03:00:00,820.0,592.0,0.0,0.0,0.0
76,2019-01-04 04:00:00,820.0,593.0,0.0,0.0,0.0
77,2019-01-04 05:00:00,820.0,596.0,0.0,0.0,0.0
78,2019-01-04 06:00:00,820.0,595.0,0.0,0.0,0.0
79,2019-01-04 07:00:00,820.0,586.0,0.0,0.0,0.0
80,2019-01-04 08:00:00,820.0,587.0,0.0,0.0,0.0
81,2019-01-04 09:00:00,820.0,587.0,0.0,0.0,0.0
82,2019-01-04 10:00:00,820.0,586.0,0.0,0.0,0.0
83,2019-01-04 11:00:00,820.0,587.0,0.0,0.0,0.0
84,2019-01-04 12:00:00,820.0,587.0,0.0,0.0,0.0
85,2019-01-04 13:00:00,820.0,587.0,0.0,0.0,0.0
86,2019-01-04 14:00:00,820.0,588.0,0.0,0.0,0.0
87,2019-01-04 15:00:00,820.0,592.0,0.0,0.0,0.0
88,2019-01-04 16:00:00,820.0,590.0,0.0,0.0,0.0
89,2019-01-04 17:00:00,820.0,591.0,0.0,0.0,0.0
90,2019-01-04 18:00:00,820.0,590.0,0.0,0.0,0.0
91,2019-01-04 19:00:00,820.0,591.0,0.0,0.0,0.0
92,2019-01-04 20:00:00,820.0,593.0,0.0,0.0,0.0
93,2019-01-04 21:00:00,820.0,591.0,0.0,0.0,0.0
94,2019-01-04 22:00:00,820.0,590.0,0.0,0.0,0.0
95,2019-01-04 23:00:00,820.0,591.0,0.0,0.0,0.0
96,2019-01-05 00:00:00,820.0,593.0,0.0,0.0,0.0
97,2019-01-05 01:00:00,820.0,597.0,0.0,0.0,0.0
98,2019-01-05 02:00:00,820.0,590.0,0.0,0.0,0.0
99,2019-01-05 03:00:00,820.0,590.0,0.0,0.0,0.0
100,2019-01-05 04:00:00,820.0,589.0,0.0,0.0,0.0
101,2019-01-05 05:00:00,820.0,590.0,0.0,0.0,0.0
102,2019-01-05 06:00:00,820.0,589.0,0.0,0.0,0.0
103,2019-01-05 07:00:00,820.0,586.0,0.0,0.0,0.0
104,2019-01-05 08:00:00,820.0,587.0,0.0,0.0,0.0
105,2019-01-05 09:00:00,820.0,587.0,0.0,0.0,0.0
106,2019-01-05 10:00:00,820.0,588.0,0.0,0.0,0.0
107,2019-01-05 11:00:00,820.0,586.0,0.0,0.0,0.0
108,2019-01-05 12:00:00,820.0,587.0,0.0,0.0,0.0
109,2019-01-05 13:00:00,820.0,587.0,0.0,0.0,0.0
110,2019-01-05 14:00:00,820.0,588.0,0.0,0.0,0.0
