UTC time,wind,biomass,unknown,hydro,nat_gas,solar
2023-01-01 00:00,505.0,90.0,12.0,25.0,26.0,0.0
2023-01-01 01:00,461.0,90.0,12.0,25.0,25.0,0.0
2023-01-01 02:00,444.0,90.0,12.0,25.0,25.0,0.0
2023-01-01 03:00,427.0,90.0,12.0,25.0,26.0,0.0
2023-01-01 04:00,376.0,89.0,11.0,25.0,26.0,0.0
2023-01-01 05:00,431.0,90.0,10.0,25.0,26.0,0.0
2023-01-01 06:00,507.0,90.0,10.0,47.0,26.0,0.0
2023-01-01 07:00,551.0,90.0,11.0,31.0,26.0,6.0
2023-01-01 08:00,571.0,90.0,12.0,26.0,26.0,6.0
2023-01-01 09:00,572.0,90.0,12.0,26.0,26.0,6.0
2023-01-01 10:00,571.0,90.0,11.0,26.0,26.0,6.0
2023-01-01 11:00,571.0,90.0,11.0,47.0,26.0,6.0
2023-01-01 12:00,569.0,90.0,11.0,47.0,25.0,6.0
2023-01-01 13:00,516.0,90.0,11.0,88.0,25.0,6.0
2023-01-01 14:00,547.0,90.0,10.0,66.0,25.0,6.0
2023-01-01 15:00,571.0,90.0,10.0,64.0,26.0,6.0
2023-01-01 16:00,569.0,90.0,10.0,90.0,26.0,6.0
2023-01-01 17:00,570.0,90.0,10.0,80.0,26.0,6.0
2023-01-01 18:00,565.0,89.0,10.0,88.0,26.0,6.0
2023-01-01 19:00,557.0,89.0,10.0,51.0,26.0,6.0
2023-01-01 20:00,513.0,88.0,10.0,47.0,26.0,6.0
2023-01-01 21:00,407.0,84.0,11.0,50.0,26.0,6.0
2023-01-01 22:00,322.0,84.0,10.0,74.0,25.0,6.0
2023-01-01 23:00,222.0,80.0,10.0,47.0,25.0,6.0
2023-01-02 00:00,188.0,74.0,10.0,57.0,25.0,6.0
2023-01-02 01:00,143.0,74.0,10.0,47.0,25.0,6.0
2023-01-02 02:00,111.0,74.0,10.0,47.0,26.0,6.0
2023-01-02 03:00,41.0,74.0,10.0,47.0,26.0,6.0
2023-01-02 04:00,36.0,73.0,9.0,47.0,26.0,6.0
2023-01-02 05:00,66.0,73.0,10.0,47.0,26.0,6.0
2023-01-02 06:00,84.0,73.0,10.0,68.0,26.0,6.0
2023-01-02 07:00,100.0,73.0,10.0,68.0,26.0,6.0
2023-01-02 08:00,112.0,73.0,10.0,88.0,27.0,6.0
2023-01-02 09:00,126.0,72.0,11.0,92.0,26.0,18.0
2023-01-02 10:00,141.0,72.0,11.0,92.0,26.0,17.0
2023-01-02 11:00,202.0,72.0,10.0,88.0,26.0,12.0
2023-01-02 12:00,267.0,72.0,9.0,88.0,26.0,7.0
2023-01-02 13:00,329.0,72.0,9.0,88.0,26.0,2.0
2023-01-02 14:00,370.0,72.0,9.0,88.0,26.0,0.0
2023-01-02 15:00,392.0,72.0,9.0,91.0,26.0,0.0
2023-01-02 16:00,443.0,72.0,10.0,88.0,26.0,0.0
2023-01-02 17:00,492.0,72.0,10.0,88.0,26.0,0.0
2023-01-02 18:00,521.0,72.0,10.0,88.0,27.0,0.0
2023-01-02 19:00,545.0,72.0,9.0,88.0,26.0,0.0
