UTC time,oil,wind,unknown,hydro,nat_gas,coal,biomass,geothermal,nuclear,solar
2023-01-01 00:00,,,,,,,,,,
2023-01-01 01:00,,,,,,,,,,
2023-01-01 02:00,12.0,1296.0,2.0,305.0,1868.0,318.0,,,,
2023-01-01 03:00,,,,,,,,,,
2023-01-01 04:00,,,,,,,,,,
2023-01-01 05:00,,,,,,,,,,
2023-01-01 06:00,,,,,,,,,,
2023-01-01 07:00,7.0,1356.0,2.0,300.0,1306.0,372.0,,,,
2023-01-01 08:00,9.0,1146.0,2.0,300.0,1429.0,392.0,,,,
2023-01-01 09:00,25.0,1076.0,2.0,303.0,1543.0,364.0,,,,
2023-01-01 10:00,600.0,738.0,2.0,303.0,2458.0,328.0,,,,
2023-01-01 11:00,805.0,582.0,2.0,294.0,3021.0,322.0,,,,
2023-01-01 12:00,893.0,522.0,2.0,289.0,3557.0,316.0,,,,
2023-01-01 13:00,900.0,367.0,2.0,291.0,3650.0,317.0,,,,
2023-01-01 14:00,874.0,299.0,2.0,290.0,3581.0,382.0,,,,
2023-01-01 15:00,868.0,461.0,2.0,288.0,3236.0,397.0,,,,
2023-01-01 16:00,913.0,662.0,2.0,293.0,3343.0,401.0,,,,
2023-01-01 17:00,874.0,1007.0,2.0,299.0,3428.0,373.0,,,,
2023-01-01 18:00,,,,,,,,,,
2023-01-01 19:00,586.0,1152.0,2.0,307.0,3377.0,308.0,,,,
2023-01-01 20:00,725.0,1107.0,2.0,295.0,3394.0,307.0,,,,
2023-01-01 21:00,,,,,,,,,,
2023-01-01 22:00,,,,,,,,,,
2023-01-01 23:00,,,,,,,,,,
2023-01-02 00:00,,,,,,,,,,
2023-01-02 01:00,,,,,,,,,,
2023-01-02 02:00,,,,,,,,,,
2023-01-02 03:00,,,,,,,,,,
2023-01-02 04:00,,,,,,,,,,
2023-01-02 05:00,624.0,311.0,2.0,290.0,2700.0,322.0,,,,
2023-01-02 06:00,,,,,,,,,,
2023-01-02 07:00,810.0,264.0,2.0,291.0,2839.0,323.0,,,,
2023-01-02 08:00,885.0,373.0,2.0,300.0,2705.0,320.0,,,,
2023-01-02 09:00,881.0,628.0,2.0,305.0,2681.0,321.0,,,,
2023-01-02 10:00,902.0,1037.0,2.0,301.0,2643.0,322.0,,,,
2023-01-02 11:00,611.0,1403.0,2.0,302.0,2657.0,319.0,,,,
2023-01-02 12:00,485.0,1833.0,2.0,304.0,2692.0,303.0,,,,
2023-01-02 13:00,472.0,2114.0,2.0,303.0,2643.0,313.0,,,,
2023-01-02 14:00,398.0,2637.0,2.0,304.0,2522.0,306.0,,,,
2023-01-02 15:00,395.0,3108.0,2.0,302.0,2150.0,306.0,,,,
2023-01-02 16:00,418.0,4030.0,2.0,339.0,2059.0,309.0,,,,
2023-01-02 17:00,406.0,4694.0,2.0,340.0,2675.0,307.0,,,,
2023-01-02 18:00,383.0,5447.0,2.0,337.0,2296.0,308.0,,,,
2023-01-02 19:00,383.0,6039.0,2.0,336.0,1704.0,298.0,,,,
2023-01-02 20:00,11.0,6533.0,2.0,306.0,1219.0,304.0,,,,
2023-01-02 21:00,10.0,6875.0,2.0,301.0,1041.0,306.0,,,,
2023-01-02 22:00,,,,,,,,,,
2023-01-02 23:00,,,,,,,,,,
2023-01-03 00:00,,,,,,,,,,
2023-01-03 01:00,,,,,,,,,,
2023-01-03 02:00,,,,,,,,,,
2023-01-03 03:00,,,,,,,,,,
2023-01-03 04:00,,,,,,,,,,
2023-01-03 05:00,,,,,,,,,,
2023-01-03 06:00,,,,,,,,,,
2023-01-03 07:00,,,,,,,,,,
2023-01-03 08:00,,,,,,,,,,
2023-01-03 09:00,,,,,,,,,,
2023-01-03 10:00,,,,,,,,,,
2023-01-03 11:00,,,,,,,,,,
2023-01-03 12:00,,,,,,,,,,
2023-01-03 13:00,,,,,,,,,,
2023-01-03 14:00,,,,,,,,,,
2023-01-03 15:00,,,,,,,,,,
2023-01-03 16:00,,,,,,,,,,
2023-01-03 17:00,,,,,,,,,,
2023-01-03 18:00,,,,,,,,,,
2023-01-03 19:00,,,,,,,,,,
2023-01-03 20:00,,,,,,,,,,
2023-01-03 21:00,,,,,,,,,,
2023-01-03 22:00,,,,,,,,,,
2023-01-03 23:00,,,,,,,,,,
2023-01-04 00:00,,,,,,,,,,
2023-01-04 01:00,,,,,,,,,,
2023-01-04 02:00,,,,,,,,,,
2023-01-04 03:00,,,,,,,,,,
2023-01-04 04:00,,,,,,,,,,
2023-01-04 05:00,,,,,,,,,,
2023-01-04 06:00,,,,,,,,,,
2023-01-04 07:00,,,,,,,,,,
2023-01-04 08:00,,,,,,,,,,
2023-01-04 09:00,,,,,,,,,,
2023-01-04 10:00,,,,,,,,,,
