,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,forecasted_avg_wind_production
0,01/01/2019 00:00:00,2018-12-31 16:00:00,229.21,9,6574,2273,88,2403,1222,2497,0
1,01/01/2019 01:00:00,2018-12-31 17:00:00,274,11,9094,2274,87,3328,0,2187,0
2,01/01/2019 02:00:00,2018-12-31 18:00:00,271.21,11,9212,2274,90,3539,0,2297,0
3,01/01/2019 03:00:00,2018-12-31 19:00:00,260.53,10,8309,2272,90,3480,0,2304,0
4,01/01/2019 04:00:00,2018-12-31 20:00:00,255.65,10,7912,2273,88,3192,0,2472,0
5,01/01/2019 05:00:00,2018-12-31 21:00:00,237.33,8,7098,2274,88,2715,0,3282,0
6,01/01/2019 06:00:00,2018-12-31 22:00:00,251.62,11,7431,2271,90,2454,0,2954,0
7,01/01/2019 07:00:00,2018-12-31 23:00:00,260.47,12,7567,2272,89,2316,0,2670,0
8,01/01/2019 08:00:00,2019-01-01 00:00:00,254.96,12,7098,2272,93,2084,0,2918,0
9,01/01/2019 09:00:00,2019-01-01 01:00:00,256.51,11,6838,2273,89,2110,0,2501,0
10,01/01/2019 10:00:00,2019-01-01 02:00:00,258.67,10,6693,2275,89,1883,0,2365,0
11,01/01/2019 11:00:00,2019-01-01 03:00:00,260.87,11,6574,2274,88,1592,0,2416,0
12,01/01/2019 12:00:00,2019-01-01 04:00:00,262.67,9,6597,2273,90,1618,0,2319,0
13,01/01/2019 13:00:00,2019-01-01 05:00:00,268.08,12,6920,2275,91,1822,0,2162,0
14,01/01/2019 14:00:00,2019-01-01 06:00:00,264.26,12,7111,2276,88,2246,0,2101,0
15,01/01/2019 15:00:00,2019-01-01 07:00:00,260.92,10,7100,2274,91,2392,164,1998,0
16,01/01/2019 16:00:00,2019-01-01 08:00:00,206.46,13,5603,2274,89,1507,3389,1902,0
17,01/01/2019 17:00:00,2019-01-01 09:00:00,150.46,14,4121,2274,86,1390,6909,1961,0
18,01/01/2019 18:00:00,2019-01-01 10:00:00,135.43,12,3656,2273,90,1187,7931,1774,0
19,01/01/2019 19:00:00,2019-01-01 11:00:00,131.65,13,3538,2274,92,1077,7909,2082,0
20,01/01/2019 20:00:00,2019-01-01 12:00:00,134.31,14,3559,2272,89,1064,7831,1839,0
21,01/01/2019 21:00:00,2019-01-01 13:00:00,141.47,14,3832,2272,92,1060,7956,1576,0
22,01/01/2019 22:00:00,2019-01-01 14:00:00,148.78,14,4039,2274,88,1217,7727,1211,0
23,01/01/2019 23:00:00,2019-01-01 15:00:00,176.53,16,4832,2273,89,1580,6204,822,0
24,01/02/2019 00:00:00,2019-01-01 16:00:00,251.6,15,6654,2270,89,2524,1821,564,0
25,01/02/2019 01:00:00,2019-01-01 17:00:00,300.55,15,9018,2274,88,3426,0,495,0
26,01/02/2019 02:00:00,2019-01-01 18:00:00,302.53,14,9646,2274,91,3842,0,402,0
27,01/02/2019 03:00:00,2019-01-01 19:00:00,305.28,15,9470,2273,89,3610,0,378,0
28,01/02/2019 04:00:00,2019-01-01 20:00:00,308.48,16,9239,2271,92,3419,0,330,0
29,01/02/2019 05:00:00,2019-01-01 21:00:00,320.21,14,9218,2274,89,2720,0,328,0
30,01/02/2019 06:00:00,2019-01-01 22:00:00,318.62,15,8493,2273,89,2484,0,273,0
31,01/02/2019 07:00:00,2019-01-01 23:00:00,328.98,13,8332,2276,90,1950,0,246,0
32,01/02/2019 08:00:00,2019-01-02 00:00:00,326.78,13,7822,2274,92,1711,0,250,0
33,01/02/2019 09:00:00,2019-01-02 01:00:00,328.18,12,7712,2271,91,1646,0,203,0
34,01/02/2019 10:00:00,2019-01-02 02:00:00,336.35,13,7852,2272,91,1344,0,260,0
35,01/02/2019 11:00:00,2019-01-02 03:00:00,336.08,10,7950,2272,89,1365,0,294,0
36,01/02/2019 12:00:00,2019-01-02 04:00:00,335.55,12,7919,2272,90,1352,0,311,0
37,01/02/2019 13:00:00,2019-01-02 05:00:00,318.69,11,8323,2272,90,2196,0,381,0
38,01/02/2019 14:00:00,2019-01-02 06:00:00,310.66,12,8709,2271,90,2791,0,401,0
39,01/02/2019 15:00:00,2019-01-02 07:00:00,305.94,11,9225,2272,91,3214,146,471,0
40,01/02/2019 16:00:00,2019-01-02 08:00:00,254.97,12,8064,2271,90,2397,3462,450,0
41,01/02/2019 17:00:00,2019-01-02 09:00:00,208.33,11,6842,2274,89,1603,7057,399,0
42,01/02/2019 18:00:00,2019-01-02 10:00:00,195.85,11,6229,2274,89,1146,7879,411,0
43,01/02/2019 19:00:00,2019-01-02 11:00:00,199.06,12,6282,2273,90,1053,7792,350,0
44,01/02/2019 20:00:00,2019-01-02 12:00:00,197.65,11,6185,2271,89,923,7731,500,0
45,01/02/2019 21:00:00,2019-01-02 13:00:00,198.3,14,6160,2271,89,905,7885,300,0
46,01/02/2019 22:00:00,2019-01-02 14:00:00,193.6,14,5914,2272,84,974,7861,296,0
47,01/02/2019 23:00:00,2019-01-02 15:00:00,218.15,15,6826,2269,89,1397,6440,237,0
48,01/03/2019 00:00:00,2019-01-02 16:00:00,288.6,15,8597,2270,90,2285,1949,233,0
49,01/03/2019 01:00:00,2019-01-02 17:00:00,331.45,14,11162,2272,89,3339,80,151,0
50,01/03/2019 02:00:00,2019-01-02 18:00:00,331.25,15,11622,2271,90,3534,55,222,0
51,01/03/2019 03:00:00,2019-01-02 19:00:00,324.58,16,11565,2271,90,3771,57,307,0
52,01/03/2019 04:00:00,2019-01-02 20:00:00,320.78,17,11156,2272,89,3740,45,359,0
53,01/03/2019 05:00:00,2019-01-02 21:00:00,325.65,20,10532,2270,89,3018,0,473,0
54,01/03/2019 06:00:00,2019-01-02 22:00:00,325.38,18,9852,2270,90,2581,0,543,0
55,01/03/2019 07:00:00,2019-01-02 23:00:00,330.8,18,9232,2273,90,1962,0,565,0
56,01/03/2019 08:00:00,2019-01-03 00:00:00,326.96,17,8560,2273,89,1705,0,634,0
57,01/03/2019 09:00:00,2019-01-03 01:00:00,332.67,17,8369,2269,90,1313,0,686,0
58,01/03/2019 10:00:00,2019-01-03 02:00:00,330.18,16,8062,2269,41,1212,0,678,0
59,01/03/2019 11:00:00,2019-01-03 03:00:00,331.12,16,7870,2269,38,1218,0,538,0
60,01/03/2019 12:00:00,2019-01-03 04:00:00,326.99,17,7819,2268,41,1331,0,565,0
61,01/03/2019 13:00:00,2019-01-03 05:00:00,324.36,16,8179,2271,40,1897,0,308,0
62,01/03/2019 14:00:00,2019-01-03 06:00:00,315.24,16,8660,2270,47,2481,0,486,0
63,01/03/2019 15:00:00,2019-01-03 07:00:00,315.88,16,9050,2270,72,2617,158,455,0
64,01/03/2019 16:00:00,2019-01-03 08:00:00,266.65,16,8409,2271,89,1864,3503,470,0
65,01/03/2019 17:00:00,2019-01-03 09:00:00,204.56,14,6418,2272,90,1315,7105,372,0
66,01/03/2019 18:00:00,2019-01-03 10:00:00,187.21,13,5625,2270,91,1064,7868,359,0
67,01/03/2019 19:00:00,2019-01-03 11:00:00,180.81,13,5098,2270,89,835,7842,348,0
68,01/03/2019 20:00:00,2019-01-03 12:00:00,176.96,13,4875,2271,91,799,7786,393,0
69,01/03/2019 21:00:00,2019-01-03 13:00:00,175.62,13,4870,2270,86,788,7850,388,0
70,01/03/2019 22:00:00,2019-01-03 14:00:00,174.57,12,4794,2270,90,886,7695,387,0
71,01/03/2019 23:00:00,2019-01-03 15:00:00,201.69,13,5851,2270,91,1454,6273,335,0
72,01/04/2019 00:00:00,2019-01-03 16:00:00,270.21,12,7926,2269,90,2747,2022,328,0
73,01/04/2019 01:00:00,2019-01-03 17:00:00,316.45,11,10668,2268,90,3678,202,280,0
74,01/04/2019 02:00:00,2019-01-03 18:00:00,317.17,12,11228,2269,87,4108,0,346,0
75,01/04/2019 03:00:00,2019-01-03 19:00:00,317.28,12,10943,2269,82,3860,0,356,0
76,01/04/2019 04:00:00,2019-01-03 20:00:00,322.2,13,10580,2270,39,3254,0,386,0
77,01/04/2019 05:00:00,2019-01-03 21:00:00,331.69,12,10184,2271,41,2550,0,376,0
78,01/04/2019 06:00:00,2019-01-03 22:00:00,336.12,13,9539,2268,42,2058,0,376,0
79,01/04/2019 07:00:00,2019-01-03 23:00:00,332,15,8794,2270,43,1848,0,359,0
80,01/04/2019 08:00:00,2019-01-04 00:00:00,325.75,13,8183,2269,42,1795,0,355,0
81,01/04/2019 09:00:00,2019-01-04 01:00:00,329.72,13,7910,2267,42,1489,0,352,0
82,01/04/2019 10:00:00,2019-01-04 02:00:00,332.57,14,7846,2269,40,1336,0,358,0
83,01/04/2019 11:00:00,2019-01-04 03:00:00,329.36,16,7685,2269,40,1304,0,430,0
84,01/04/2019 12:00:00,2019-01-04 04:00:00,325.88,16,7704,2270,43,1478,0,405,0
85,01/04/2019 13:00:00,2019-01-04 05:00:00,315.74,16,7804,2271,44,2025,0,340,0
86,01/04/2019 14:00:00,2019-01-04 06:00:00,316.86,13,8746,2273,43,2562,0,318,0
87,01/04/2019 15:00:00,2019-01-04 07:00:00,317.48,13,9443,2274,39,2929,150,247,0
88,01/04/2019 16:00:00,2019-01-04 08:00:00,267.59,17,8593,2272,38,2017,3590,249,0
89,01/04/2019 17:00:00,2019-01-04 09:00:00,211.99,14,6756,2273,39,1309,7158,202,0
90,01/04/2019 18:00:00,2019-01-04 10:00:00,199.44,13,6241,2273,42,884,7879,225,0
91,01/04/2019 19:00:00,2019-01-04 11:00:00,192.71,14,5654,2273,39,771,7831,136,0
92,01/04/2019 20:00:00,2019-01-04 12:00:00,184.77,14,5267,2273,43,736,7773,225,0
93,01/04/2019 21:00:00,2019-01-04 13:00:00,183.13,13,5236,2272,38,735,7910,236,0
94,01/04/2019 22:00:00,2019-01-04 14:00:00,190.39,13,5533,2272,37,819,7783,55,0
95,01/04/2019 23:00:00,2019-01-04 15:00:00,199.65,12,5852,2272,37,1661,6362,113,0
96,01/05/2019 00:00:00,2019-01-04 16:00:00,271.89,13,7989,2272,36,2676,2023,193,0
97,01/05/2019 01:00:00,2019-01-04 17:00:00,321.93,13,10666,2270,39,3476,0,234,0
98,01/05/2019 02:00:00,2019-01-04 18:00:00,319.37,14,10892,2271,36,3732,0,250,0
99,01/05/2019 03:00:00,2019-01-04 19:00:00,320.52,15,10512,2270,36,3512,0,243,0
100,01/05/2019 04:00:00,2019-01-04 20:00:00,322.88,15,10580,2271,39,3232,0,373,0
101,01/05/2019 05:00:00,2019-01-04 21:00:00,325.23,14,9838,2270,40,2581,0,485,0
102,01/05/2019 06:00:00,2019-01-04 22:00:00,323.83,13,9178,2271,38,2244,0,521,0
103,01/05/2019 07:00:00,2019-01-04 23:00:00,317.84,13,8559,2270,38,2119,0,584,0
104,01/05/2019 08:00:00,2019-01-05 00:00:00,326.81,15,8679,2270,39,1971,0,444,0
105,01/05/2019 09:00:00,2019-01-05 01:00:00,330.37,16,8389,2270,37,1649,0,410,0
106,01/05/2019 10:00:00,2019-01-05 02:00:00,342.24,15,8421,2271,40,1326,0,277,0
107,01/05/2019 11:00:00,2019-01-05 03:00:00,343.19,16,8222,2272,41,1112,0,361,0
108,01/05/2019 12:00:00,2019-01-05 04:00:00,337.46,14,8111,2269,41,1288,0,351,0
109,01/05/2019 13:00:00,2019-01-05 05:00:00,333.76,14,7974,2271,40,1299,0,422,0
110,01/05/2019 14:00:00,2019-01-05 06:00:00,322.86,12,7845,2272,42,1490,0,575,0
111,01/05/2019 15:00:00,2019-01-05 07:00:00,325.85,12,8374,2272,40,1519,0,750,0
112,01/05/2019 16:00:00,2019-01-05 08:00:00,319.27,12,8760,2272,37,1461,644,738,0
113,01/05/2019 17:00:00,2019-01-05 09:00:00,303.62,12,8850,2271,39,1608,1241,881,0
114,01/05/2019 18:00:00,2019-01-05 10:00:00,287.54,13,8471,2273,52,1268,2058,1102,0
115,01/05/2019 19:00:00,2019-01-05 11:00:00,279.78,13,8581,2271,81,1527,2279,1143,0
116,01/05/2019 20:00:00,2019-01-05 12:00:00,276.92,13,8603,2271,87,1438,2560,1179,0
117,01/05/2019 21:00:00,2019-01-05 13:00:00,291.57,13,8787,2271,85,1285,1549,1498,0
118,01/05/2019 22:00:00,2019-01-05 14:00:00,301.05,11,9029,2274,85,1222,1012,1677,0
119,01/05/2019 23:00:00,2019-01-05 15:00:00,299.73,10,9086,2271,90,1634,548,1808,0
120,01/06/2019 00:00:00,2019-01-05 16:00:00,298.38,11,8795,2269,90,2220,153,1479,0
121,01/06/2019 01:00:00,2019-01-05 17:00:00,283.37,9,8890,2270,90,3096,0,1673,0
122,01/06/2019 02:00:00,2019-01-05 18:00:00,291.64,10,8876,2271,89,2968,0,1333,0
123,01/06/2019 03:00:00,2019-01-05 19:00:00,309.37,13,9055,2270,90,2536,0,962,0
124,01/06/2019 04:00:00,2019-01-05 20:00:00,318.17,12,9333,2272,90,2423,0,755,0
125,01/06/2019 05:00:00,2019-01-05 21:00:00,324.19,11,9311,2273,88,2155,0,736,0
126,01/06/2019 06:00:00,2019-01-05 22:00:00,330.26,10,9153,2272,90,1710,0,780,0
127,01/06/2019 07:00:00,2019-01-05 23:00:00,323.92,14,8611,2273,90,1771,0,765,0
128,01/06/2019 08:00:00,2019-01-06 00:00:00,322.43,11,7787,2271,90,1371,0,727,0
129,01/06/2019 09:00:00,2019-01-06 01:00:00,308.84,10,6768,2269,90,1160,0,866,0
130,01/06/2019 10:00:00,2019-01-06 02:00:00,293.3,11,6207,2271,90,1038,0,1206,0
131,01/06/2019 11:00:00,2019-01-06 03:00:00,286.06,13,5847,2271,90,957,0,1305,0
132,01/06/2019 12:00:00,2019-01-06 04:00:00,280.11,13,5599,2270,90,981,0,1345,0
133,01/06/2019 13:00:00,2019-01-06 05:00:00,265.66,14,5404,2272,90,1098,0,1622,0
134,01/06/2019 14:00:00,2019-01-06 06:00:00,250.73,14,5239,2272,90,1597,0,1639,0
135,01/06/2019 15:00:00,2019-01-06 07:00:00,253.74,13,5375,2270,88,1760,0,1547,0
136,01/06/2019 16:00:00,2019-01-06 08:00:00,202.8,14,4553,2272,89,1734,1938,1599,0
137,01/06/2019 17:00:00,2019-01-06 09:00:00,179.84,16,4321,2269,88,1388,3818,1790,0
138,01/06/2019 18:00:00,2019-01-06 10:00:00,163.19,13,4197,2270,90,984,5705,1771,0
139,01/06/2019 19:00:00,2019-01-06 11:00:00,156.26,13,4045,2269,90,911,5827,2113,0
140,01/06/2019 20:00:00,2019-01-06 12:00:00,172.04,14,4465,2266,90,866,5281,2079,0
141,01/06/2019 21:00:00,2019-01-06 13:00:00,168.65,15,4306,2267,89,864,5145,2172,0
142,01/06/2019 22:00:00,2019-01-06 14:00:00,170.4,11,4610,2268,89,836,5289,2373,0
143,01/06/2019 23:00:00,2019-01-06 15:00:00,176.36,10,4682,2265,90,1420,4211,2272,0
144,01/07/2019 00:00:00,2019-01-06 16:00:00,234.68,11,6430,2263,86,2041,1323,2281,0
145,01/07/2019 01:00:00,2019-01-06 17:00:00,269.46,10,8521,2265,85,3020,0,2323,0
