UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,avg_solar_production_forecast,avg_wind_production_forecast
2019-01-01 00:00:00,2518.0,295.0,2088.0,21.0,0.0,10.0,16.0,0.0,374.0
2019-01-01 01:00:00,2327.0,298.0,2087.0,21.0,0.0,13.0,16.0,0.0,396.0
2019-01-01 02:00:00,2296.0,298.0,2088.0,21.0,0.0,26.0,16.0,0.0,418.0
2019-01-01 03:00:00,2286.0,295.0,2090.0,19.0,0.0,23.0,16.0,0.0,411.0
2019-01-01 04:00:00,2276.0,297.0,2089.0,20.0,0.0,24.0,15.0,0.0,395.0
2019-01-01 05:00:00,2288.0,298.0,2090.0,25.0,0.0,51.0,17.0,0.0,381.0
2019-01-01 06:00:00,2408.0,298.0,2088.0,46.0,9.0,38.0,15.0,22.0,336.0
2019-01-01 07:00:00,2643.0,296.0,2088.0,58.0,37.0,43.0,16.0,84.0,284.0
2019-01-01 08:00:00,2762.0,293.0,2088.0,49.0,72.0,30.0,16.0,152.0,279.0
2019-01-01 09:00:00,2681.0,289.0,2087.0,31.0,95.0,24.0,15.0,195.0,234.0
2019-01-01 10:00:00,2449.0,287.0,2088.0,22.0,110.0,16.0,15.0,186.0,111.0
2019-01-01 11:00:00,2408.0,290.0,2088.0,23.0,81.0,10.0,15.0,174.0,103.0
2019-01-01 12:00:00,2402.0,290.0,2088.0,27.0,53.0,4.0,16.0,137.0,134.0
2019-01-01 13:00:00,2638.0,292.0,2089.0,38.0,19.0,3.0,15.0,70.0,82.0
2019-01-01 14:00:00,2902.0,294.0,2089.0,58.0,5.0,10.0,15.0,9.0,47.0
2019-01-01 15:00:00,2939.0,294.0,2091.0,281.0,0.0,25.0,17.0,0.0,41.0
2019-01-01 16:00:00,2923.0,295.0,2090.0,418.0,0.0,21.0,15.0,0.0,36.0
2019-01-01 17:00:00,2919.0,299.0,2090.0,277.0,0.0,33.0,15.0,0.0,14.0
2019-01-01 18:00:00,2919.0,296.0,2089.0,137.0,0.0,49.0,15.0,0.0,12.0
2019-01-01 19:00:00,2908.0,299.0,2090.0,172.0,0.0,43.0,15.0,0.0,14.0
2019-01-01 20:00:00,2914.0,298.0,2090.0,183.0,0.0,41.0,15.0,0.0,17.0
2019-01-01 21:00:00,2839.0,297.0,2088.0,93.0,0.0,25.0,14.0,0.0,12.0
2019-01-01 22:00:00,2722.0,295.0,2090.0,21.0,0.0,4.0,15.0,0.0,2.0
2019-01-01 23:00:00,2518.0,295.0,2088.0,21.0,0.0,10.0,16.0,0.0,4.0
2019-01-02 00:00:00,2327.0,298.0,2087.0,21.0,0.0,13.0,16.0,0.0,4.0
2019-01-02 01:00:00,2296.0,298.0,2088.0,21.0,0.0,26.0,16.0,0.0,3.0
2019-01-02 02:00:00,2286.0,295.0,2090.0,19.0,0.0,23.0,16.0,0.0,10.0
2019-01-02 03:00:00,2276.0,297.0,2089.0,20.0,0.0,24.0,15.0,0.0,24.0
2019-01-02 04:00:00,2288.0,298.0,2090.0,25.0,0.0,51.0,17.0,0.0,61.0
2019-01-02 05:00:00,2408.0,298.0,2088.0,46.0,9.0,38.0,15.0,0.0,73.0
2019-01-02 06:00:00,2643.0,296.0,2088.0,58.0,37.0,43.0,16.0,43.0,69.0
2019-01-02 07:00:00,2762.0,303.0,2088.0,68.0,272.0,59.0,31.0,164.0,78.0
2019-01-02 08:00:00,2681.0,310.0,2087.0,86.0,405.0,45.0,35.0,268.0,66.0
2019-01-02 09:00:00,2449.0,308.0,2088.0,78.0,420.0,32.0,34.0,319.0,71.0
2019-01-02 10:00:00,2408.0,311.0,2088.0,73.0,371.0,26.0,35.0,318.0,80.0
2019-01-02 11:00:00,2402.0,311.0,2088.0,76.0,258.0,16.0,35.0,260.0,96.0
2019-01-02 12:00:00,2638.0,313.0,2089.0,87.0,115.0,20.0,34.0,160.0,130.0
2019-01-02 13:00:00,2902.0,315.0,2089.0,104.0,19.0,28.0,34.0,56.0,128.0
2019-01-02 14:00:00,2939.0,315.0,2091.0,323.0,0.0,49.0,36.0,5.0,108.0
2019-01-02 15:00:00,2923.0,316.0,2090.0,462.0,0.0,45.0,34.0,0.0,91.0
2019-01-02 16:00:00,2919.0,320.0,2090.0,324.0,0.0,75.0,34.0,0.0,74.0
2019-01-02 17:00:00,2919.0,317.0,2089.0,184.0,0.0,108.0,35.0,0.0,73.0
2019-01-02 18:00:00,2908.0,320.0,2090.0,216.0,0.0,101.0,34.0,0.0,74.0
2019-01-02 19:00:00,2914.0,319.0,2090.0,221.0,0.0,103.0,34.0,0.0,80.0
2019-01-02 20:00:00,2839.0,318.0,2088.0,127.0,0.0,71.0,33.0,0.0,92.0
2019-01-02 21:00:00,2738.0,288.0,2089.0,26.0,0.0,11.0,15.0,0.0,71.0
2019-01-02 22:00:00,2576.0,297.0,2090.0,21.0,0.0,12.0,15.0,0.0,84.0
2019-01-02 23:00:00,2572.0,296.0,2090.0,21.0,0.0,14.0,15.0,0.0,96.0
2019-01-03 00:00:00,2514.0,298.0,2089.0,21.0,0.0,31.0,14.0,0.0,186.0
2019-01-03 01:00:00,2533.0,299.0,2088.0,21.0,0.0,51.0,15.0,0.0,292.0
2019-01-03 02:00:00,2627.0,295.0,2089.0,20.0,0.0,44.0,15.0,0.0,325.0
2019-01-03 03:00:00,2801.0,306.0,2090.0,21.0,0.0,30.0,14.0,0.0,280.0
2019-01-03 04:00:00,3087.0,307.0,2090.0,25.0,0.0,24.0,15.0,0.0,260.0
2019-01-03 05:00:00,3282.0,302.0,2090.0,214.0,19.0,10.0,15.0,0.0,280.0
2019-01-03 06:00:00,3290.0,308.0,2090.0,214.0,73.0,56.0,14.0,17.666666666666668,306.3333333333333
2019-01-03 07:00:00,3191.0,318.0,2088.0,231.0,366.0,56.0,28.0,84.22222222222221,303.77777777777777
2019-01-03 08:00:00,3089.0,328.0,2088.0,199.0,462.0,55.0,32.0,171.74074074074073,289.5925925925926
2019-01-03 09:00:00,3099.0,342.0,2089.0,139.0,433.0,60.0,32.0,247.9135802469136,279.1975308641975
2019-01-03 10:00:00,3032.0,344.0,2087.0,109.0,427.0,101.0,33.0,284.3045267489712,273.06584362139915
2019-01-03 11:00:00,3005.0,341.0,2089.0,115.0,333.0,110.0,34.0,263.7681755829904,269.0219478737997
2019-01-03 12:00:00,3179.0,345.0,2089.0,144.0,147.0,70.0,34.0,200.5893918609968,272.3406492912666
2019-01-03 13:00:00,3262.0,345.0,2089.0,269.0,19.0,58.0,33.0,116.52979728699891,256.44688309708886
2019-01-03 14:00:00,3375.0,343.0,2089.0,335.0,0.0,77.0,33.0,45.17659909566631,163.14896103236296
2019-01-03 15:00:00,3375.0,344.0,2090.0,413.0,0.0,92.0,35.0,15.058866365222103,112.38298701078766
2019-01-03 16:00:00,3302.0,351.0,2090.0,402.0,0.0,98.0,34.0,5.019622121740701,102.79432900359588
2019-01-03 17:00:00,3193.0,350.0,2090.0,345.0,0.0,122.0,35.0,1.673207373913567,99.26477633453196
2019-01-03 18:00:00,3158.0,351.0,2089.0,181.0,0.0,217.0,34.0,0.5577357913045223,104.42159211151066
2019-01-03 19:00:00,3108.0,352.0,2090.0,118.0,0.0,304.0,34.0,0.1859119304348407,122.80719737050356
2019-01-03 20:00:00,3082.0,350.0,2089.0,69.0,0.0,328.0,35.0,0.0619706434782802,138.93573245683453
2019-01-03 21:00:00,3068.0,315.0,2090.0,20.0,0.0,144.0,16.0,0.01549266086957,252.48393311420864
2019-01-03 22:00:00,2944.0,326.0,2089.0,20.0,0.0,142.0,16.0,0.0,627.0
2019-01-03 23:00:00,2909.0,326.0,2090.0,20.0,0.0,122.0,17.0,0.0,628.0
2019-01-04 00:00:00,2880.0,326.0,2090.0,21.0,0.0,140.0,16.0,0.0,627.0
2019-01-04 01:00:00,2849.0,327.0,2090.0,20.0,0.0,137.0,16.0,0.0,624.0
2019-01-04 02:00:00,2781.0,329.0,2090.0,19.0,0.0,141.0,15.0,0.0,619.0
2019-01-04 03:00:00,2863.0,332.0,2089.0,21.0,0.0,142.0,16.0,0.0,613.0
2019-01-04 04:00:00,3069.0,330.0,2089.0,51.0,0.0,98.0,17.0,0.0,606.0
2019-01-04 05:00:00,3179.0,328.0,2090.0,196.0,7.0,80.0,15.0,0.0,596.0
2019-01-04 06:00:00,3246.0,328.0,2090.0,347.0,47.0,110.0,17.0,10.0,570.0
2019-01-04 07:00:00,3155.0,334.0,2090.0,408.0,189.0,89.0,29.0,71.0,527.0
2019-01-04 08:00:00,3159.0,345.0,2088.0,364.0,273.0,75.0,33.0,163.0,499.0
2019-01-04 09:00:00,3206.0,347.0,2088.0,317.0,238.0,36.0,32.0,253.0,477.0
2019-01-04 10:00:00,3311.0,347.0,2090.0,228.0,173.0,39.0,32.0,287.0,460.0
2019-01-04 11:00:00,3326.0,350.0,2088.0,245.0,93.0,84.0,31.0,247.0,438.0
2019-01-04 12:00:00,3279.0,350.0,2087.0,269.0,32.0,178.0,32.0,178.0,418.0
2019-01-04 13:00:00,3231.0,351.0,2089.0,269.0,4.0,258.0,32.0,93.0,369.0
2019-01-04 14:00:00,3242.0,352.0,2090.0,279.0,0.0,365.0,32.0,14.0,125.0
2019-01-04 15:00:00,3219.0,352.0,2091.0,428.0,0.0,394.0,32.0,0.0,83.0
2019-01-04 16:00:00,3142.0,352.0,2090.0,436.0,0.0,438.0,34.0,0.0,122.0
