UTC time,Local time,nuclear,unknown,wind,hydro
2020-01-01 00:00:00,2020-01-01 01:00:00,7759,1632,4918,3721
2020-01-01 01:00:00,2020-01-01 02:00:00,7764,1614,5146,3663
2020-01-01 02:00:00,2020-01-01 03:00:00,7767,1601,5287,3620
2020-01-01 03:00:00,2020-01-01 04:00:00,7762,1593,5553,3725
2020-01-01 04:00:00,2020-01-01 05:00:00,7760,1635,5837,4028
2020-01-01 05:00:00,2020-01-01 06:00:00,7761,1698,6010,4120
2020-01-01 06:00:00,2020-01-01 07:00:00,7759,1754,6226,4482
2020-01-01 07:00:00,2020-01-01 08:00:00,7752,1807,6467,4693
2020-01-01 08:00:00,2020-01-01 09:00:00,7751,1813,6558,4577
2020-01-01 09:00:00,2020-01-01 10:00:00,7756,1839,6645,4661
2020-01-01 10:00:00,2020-01-01 11:00:00,7754,1873,6656,4580
2020-01-01 11:00:00,2020-01-01 12:00:00,7750,1893,6578,4882
2020-01-01 12:00:00,2020-01-01 13:00:00,7753,1891,6566,4954
2020-01-01 13:00:00,2020-01-01 14:00:00,7757,1907,6501,5229
2020-01-01 14:00:00,2020-01-01 15:00:00,7758,1905,6518,5632
2020-01-01 15:00:00,2020-01-01 16:00:00,7751,1913,6472,6281
2020-01-01 16:00:00,2020-01-01 17:00:00,7761,1928,6465,6264
2020-01-01 17:00:00,2020-01-01 18:00:00,7750,1929,6532,5766
2020-01-01 18:00:00,2020-01-01 19:00:00,7759,1910,6691,5512
2020-01-01 19:00:00,2020-01-01 20:00:00,7752,1879,6749,5157
2020-01-01 20:00:00,2020-01-01 21:00:00,7753,1841,6828,4992
2020-01-01 21:00:00,2020-01-01 22:00:00,7747,1784,6810,4664
2020-01-01 22:00:00,2020-01-01 23:00:00,7744,1784,6767,4327
2020-01-01 23:00:00,2020-01-02 00:00:00,7754,1712,6733,3865
2020-01-02 00:00:00,2020-01-02 01:00:00,7755,1698,6625,3514
2020-01-02 01:00:00,2020-01-02 02:00:00,7744,1703,6485,3524
2020-01-02 02:00:00,2020-01-02 03:00:00,7747,1700,6431,3537
2020-01-02 03:00:00,2020-01-02 04:00:00,7747,1699,6325,3610
2020-01-02 04:00:00,2020-01-02 05:00:00,7748,1733,6239,4471
2020-01-02 05:00:00,2020-01-02 06:00:00,7743,1786,6235,5461
2020-01-02 06:00:00,2020-01-02 07:00:00,7746,1817,6246,6217
2020-01-02 07:00:00,2020-01-02 08:00:00,7747,1832,6234,6684
2020-01-02 08:00:00,2020-01-02 09:00:00,7749,1860,6429,6907
2020-01-02 09:00:00,2020-01-02 10:00:00,7748,1854,6579,6981
2020-01-02 10:00:00,2020-01-02 11:00:00,7750,1870,6539,6916
2020-01-02 11:00:00,2020-01-02 12:00:00,7743,1883,6639,6895
2020-01-02 12:00:00,2020-01-02 13:00:00,7749,1853,6529,6896
2020-01-02 13:00:00,2020-01-02 14:00:00,7745,1838,6467,7145
2020-01-02 14:00:00,2020-01-02 15:00:00,7749,1831,6525,7431
2020-01-02 15:00:00,2020-01-02 16:00:00,7754,1849,6520,7568
2020-01-02 16:00:00,2020-01-02 17:00:00,7747,1853,6554,7449
2020-01-02 17:00:00,2020-01-02 18:00:00,7751,1835,6636,7205
2020-01-02 18:00:00,2020-01-02 19:00:00,7754,1836,6690,6839
2020-01-02 19:00:00,2020-01-02 20:00:00,7747,1839,6734,6278
2020-01-02 20:00:00,2020-01-02 21:00:00,7751,1818,6781,5656
2020-01-02 21:00:00,2020-01-02 22:00:00,7748,1803,6866,5090
2020-01-02 22:00:00,2020-01-02 23:00:00,7753,1777,6955,4095
2020-01-02 23:00:00,2020-01-03 00:00:00,7756,1726,7043,3657
2020-01-03 00:00:00,2020-01-03 01:00:00,7760,1723,7157,3257
2020-01-03 01:00:00,2020-01-03 02:00:00,7757,1726,7265,3113
2020-01-03 02:00:00,2020-01-03 03:00:00,7753,1733,7202,3066
2020-01-03 03:00:00,2020-01-03 04:00:00,7750,1743,7261,3097
2020-01-03 04:00:00,2020-01-03 05:00:00,7755,1776,7249,3982
2020-01-03 05:00:00,2020-01-03 06:00:00,7750,1806,7082,4564
2020-01-03 06:00:00,2020-01-03 07:00:00,7760,1818,7081,5352
2020-01-03 07:00:00,2020-01-03 08:00:00,7757,1847,6946,5939
2020-01-03 08:00:00,2020-01-03 09:00:00,7757,1846,6840,5932
2020-01-03 09:00:00,2020-01-03 10:00:00,7755,1860,6838,6021
2020-01-03 10:00:00,2020-01-03 11:00:00,7759,1869,6843,6211
2020-01-03 11:00:00,2020-01-03 12:00:00,7756,1871,6782,6449
2020-01-03 12:00:00,2020-01-03 13:00:00,7753,1885,6836,6517
2020-01-03 13:00:00,2020-01-03 14:00:00,7754,1889,6707,6728
2020-01-03 14:00:00,2020-01-03 15:00:00,7752,1889,6601,7345
2020-01-03 15:00:00,2020-01-03 16:00:00,7756,1891,6559,7578
2020-01-03 16:00:00,2020-01-03 17:00:00,7756,1908,6464,7558
2020-01-03 17:00:00,2020-01-03 18:00:00,7758,1904,6542,7226
2020-01-03 18:00:00,2020-01-03 19:00:00,7748,1907,6711,6569
2020-01-03 19:00:00,2020-01-03 20:00:00,7758,1858,6906,5992
2020-01-03 20:00:00,2020-01-03 21:00:00,7765,1829,7033,5447
2020-01-03 21:00:00,2020-01-03 22:00:00,7754,1809,7151,4807
2020-01-03 22:00:00,2020-01-03 23:00:00,7757,1784,7297,4356
2020-01-03 23:00:00,2020-01-04 00:00:00,7754,1781,7361,3945
2020-01-04 00:00:00,2020-01-04 01:00:00,7764,1741,7348,3604
2020-01-04 01:00:00,2020-01-04 02:00:00,7765,1704,7231,3478
2020-01-04 02:00:00,2020-01-04 03:00:00,7760,1685,7027,3372
2020-01-04 03:00:00,2020-01-04 04:00:00,7781,1675,7002,3220
2020-01-04 04:00:00,2020-01-04 05:00:00,7778,1683,6960,3435
2020-01-04 05:00:00,2020-01-04 06:00:00,7785,1689,7110,3526
2020-01-04 06:00:00,2020-01-04 07:00:00,7772,1707,7155,3900
2020-01-04 07:00:00,2020-01-04 08:00:00,7778,1706,7224,4397
2020-01-04 08:00:00,2020-01-04 09:00:00,7784,1715,7208,4863
2020-01-04 09:00:00,2020-01-04 10:00:00,7782,1726,7176,5157
2020-01-04 10:00:00,2020-01-04 11:00:00,7779,1731,7170,5230
2020-01-04 11:00:00,2020-01-04 12:00:00,7782,1735,7170,5181
2020-01-04 12:00:00,2020-01-04 13:00:00,7781,1725,7121,5214
2020-01-04 13:00:00,2020-01-04 14:00:00,7781,1713,7102,5373
2020-01-04 14:00:00,2020-01-04 15:00:00,7782,1730,7097,5507
2020-01-04 15:00:00,2020-01-04 16:00:00,7785,1757,7045,6253
