UTC Time,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore
2019-01-01 00:00:00+00:00,76.0,0.0,48.0,81.0,54.0
2019-01-01 01:00:00+00:00,77.0,0.0,25.0,81.0,54.0
2019-01-01 02:00:00+00:00,76.0,0.0,4.0,80.0,52.0
2019-01-01 03:00:00+00:00,77.0,0.0,48.0,80.0,50.0
2019-01-01 04:00:00+00:00,77.0,0.0,48.0,79.0,50.0
2019-01-01 05:00:00+00:00,80.0,1.0,48.0,83.0,51.0
2019-01-01 06:00:00+00:00,80.0,1.0,48.0,83.0,50.0
2019-01-01 07:00:00+00:00,80.0,1.0,48.0,83.0,50.0
2019-01-01 08:00:00+00:00,80.0,1.0,12.0,83.0,50.0
2019-01-01 09:00:00+00:00,80.0,1.0,52.0,83.0,48.0
2019-01-01 10:00:00+00:00,80.0,1.0,37.0,83.0,47.0
2019-01-01 11:00:00+00:00,80.0,1.0,52.0,83.0,47.0
2019-01-01 12:00:00+00:00,79.0,1.0,39.0,83.0,45.0
2019-01-01 13:00:00+00:00,79.0,1.0,52.0,83.0,39.0
2019-01-01 14:00:00+00:00,79.0,1.0,61.0,83.0,36.0
2019-01-01 15:00:00+00:00,79.0,1.0,21.0,83.0,26.0
2019-01-01 16:00:00+00:00,80.0,1.0,48.0,84.0,14.0
2019-01-01 17:00:00+00:00,80.0,1.0,48.0,84.0,21.0
2019-01-01 18:00:00+00:00,78.0,1.0,48.0,81.0,19.0
2019-01-01 19:00:00+00:00,81.0,1.0,48.0,84.0,19.0
2019-01-01 20:00:00+00:00,81.0,1.0,48.0,84.0,25.0
2019-01-01 21:00:00+00:00,81.0,0.0,48.0,84.0,32.0
2019-01-01 22:00:00+00:00,81.0,0.0,6.0,84.0,35.0
2019-01-01 23:00:00+00:00,78.0,0.0,0.0,83.0,44.0
2019-01-02 00:00:00+00:00,78.0,0.0,0.0,82.0,47.0
2019-01-02 01:00:00+00:00,79.0,0.0,0.0,84.0,45.0
2019-01-02 02:00:00+00:00,80.0,0.0,0.0,83.0,46.0
2019-01-02 03:00:00+00:00,80.0,4.0,0.0,83.0,47.0
2019-01-02 04:00:00+00:00,81.0,42.0,89.0,83.0,45.0
2019-01-02 05:00:00+00:00,82.0,90.0,48.0,83.0,45.0
2019-01-02 06:00:00+00:00,83.0,154.0,164.0,83.0,41.0
2019-01-02 07:00:00+00:00,84.0,100.0,218.0,83.0,31.0
2019-01-02 08:00:00+00:00,84.0,143.0,272.0,83.0,33.0
2019-01-02 09:00:00+00:00,86.0,222.0,144.0,83.0,42.0
2019-01-02 10:00:00+00:00,86.0,348.0,8.0,84.0,46.0
2019-01-02 11:00:00+00:00,86.0,352.0,0.0,84.0,38.0
2019-01-02 12:00:00+00:00,86.0,355.0,0.0,84.0,44.0
2019-01-02 13:00:00+00:00,86.0,441.0,78.0,84.0,45.0
2019-01-02 14:00:00+00:00,87.0,443.0,85.0,84.0,42.0
2019-01-02 15:00:00+00:00,87.0,443.0,134.0,84.0,43.0
2019-01-02 16:00:00+00:00,87.0,442.0,311.0,84.0,43.0
2019-01-02 17:00:00+00:00,88.0,442.0,368.0,84.0,45.0
2019-01-02 18:00:00+00:00,88.0,443.0,224.0,85.0,47.0
2019-01-02 19:00:00+00:00,88.0,443.0,70.0,85.0,49.0
2019-01-02 20:00:00+00:00,85.0,443.0,37.0,85.0,47.0
2019-01-02 21:00:00+00:00,84.0,442.0,37.0,85.0,46.0
2019-01-02 22:00:00+00:00,84.0,356.0,108.0,84.0,45.0
2019-01-02 23:00:00+00:00,84.0,339.0,124.0,84.0,45.0
2019-01-03 00:00:00+00:00,84.0,339.0,124.0,84.0,46.0
2019-01-03 01:00:00+00:00,83.0,339.0,124.0,84.0,45.0
2019-01-03 02:00:00+00:00,84.0,340.0,124.0,84.0,42.0
2019-01-03 03:00:00+00:00,83.0,339.0,124.0,84.0,43.0
2019-01-03 04:00:00+00:00,83.0,340.0,124.0,83.0,43.0
2019-01-03 05:00:00+00:00,84.0,340.0,125.0,83.0,41.0
2019-01-03 06:00:00+00:00,86.0,366.0,133.0,83.0,40.0
2019-01-03 07:00:00+00:00,88.0,386.0,131.0,83.0,37.0
2019-01-03 08:00:00+00:00,88.0,379.0,134.0,84.0,35.0
2019-01-03 09:00:00+00:00,88.0,409.0,126.0,84.0,35.0
2019-01-03 10:00:00+00:00,89.0,458.0,150.0,84.0,31.0
2019-01-03 11:00:00+00:00,89.0,445.0,157.0,84.0,29.0
2019-01-03 12:00:00+00:00,89.0,438.0,249.0,84.0,25.0
2019-01-03 13:00:00+00:00,89.0,437.0,297.0,85.0,20.0
2019-01-03 14:00:00+00:00,89.0,437.0,443.0,85.0,21.0
2019-01-03 15:00:00+00:00,89.0,431.0,543.0,85.0,21.0
2019-01-03 16:00:00+00:00,89.0,427.0,593.0,85.0,17.0
2019-01-03 17:00:00+00:00,90.0,423.0,496.0,85.0,13.0
2019-01-03 18:00:00+00:00,90.0,425.0,238.0,85.0,10.0
2019-01-03 19:00:00+00:00,90.0,432.0,121.0,86.0,9.0
2019-01-03 20:00:00+00:00,89.0,460.0,32.0,86.0,6.0
2019-01-03 21:00:00+00:00,88.0,446.0,19.0,86.0,4.0
2019-01-03 22:00:00+00:00,88.0,444.0,35.0,86.0,1.0
2019-01-03 23:00:00+00:00,88.0,448.0,35.0,86.0,0.0
2019-01-04 00:00:00+00:00,88.0,456.0,31.0,86.0,0.0
2019-01-04 01:00:00+00:00,87.0,459.0,27.0,86.0,1.0
2019-01-04 02:00:00+00:00,88.0,455.0,27.0,86.0,3.0
2019-01-04 03:00:00+00:00,89.0,435.0,18.0,85.0,5.0
2019-01-04 04:00:00+00:00,89.0,406.0,26.0,85.0,6.0
2019-01-04 05:00:00+00:00,89.0,408.0,35.0,85.0,10.0
2019-01-04 06:00:00+00:00,89.0,410.0,56.0,85.0,11.0
2019-01-04 07:00:00+00:00,90.0,409.0,50.0,85.0,7.0
2019-01-04 08:00:00+00:00,89.0,405.0,72.0,85.0,7.0
2019-01-04 09:00:00+00:00,89.0,395.0,111.0,85.0,6.0
2019-01-04 10:00:00+00:00,89.0,332.0,245.0,85.0,10.0
2019-01-04 11:00:00+00:00,89.0,325.0,264.0,85.0,7.0
2019-01-04 12:00:00+00:00,89.0,334.0,264.0,85.0,7.0
2019-01-04 13:00:00+00:00,88.0,343.0,294.0,83.0,9.0
2019-01-04 14:00:00+00:00,89.0,354.0,310.0,84.0,11.0
2019-01-04 15:00:00+00:00,89.0,362.0,339.0,84.0,12.0
2019-01-04 16:00:00+00:00,89.0,366.0,296.0,84.0,8.0
2019-01-04 17:00:00+00:00,89.0,358.0,291.0,84.0,5.0
2019-01-04 18:00:00+00:00,89.0,338.0,205.0,85.0,6.0
2019-01-04 19:00:00+00:00,86.0,330.0,263.0,85.0,7.0
2019-01-04 20:00:00+00:00,83.0,306.0,158.0,86.0,9.0
2019-01-04 21:00:00+00:00,82.0,292.0,176.0,86.0,11.0
2019-01-04 22:00:00+00:00,82.0,292.0,176.0,85.0,10.0
2019-01-04 23:00:00+00:00,83.0,297.0,69.0,85.0,8.0
2019-01-05 00:00:00+00:00,82.0,307.0,68.0,85.0,8.0
2019-01-05 01:00:00+00:00,82.0,320.0,67.0,85.0,10.0
2019-01-05 02:00:00+00:00,82.0,331.0,67.0,85.0,12.0
2019-01-05 03:00:00+00:00,82.0,382.0,11.0,84.0,18.0
2019-01-05 04:00:00+00:00,82.0,374.0,0.0,84.0,15.0
2019-01-05 05:00:00+00:00,83.0,375.0,0.0,84.0,17.0
2019-01-05 06:00:00+00:00,83.0,378.0,0.0,84.0,17.0
2019-01-05 07:00:00+00:00,86.0,386.0,0.0,84.0,15.0
2019-01-05 08:00:00+00:00,87.0,391.0,0.0,84.0,13.0
2019-01-05 09:00:00+00:00,88.0,437.0,0.0,84.0,15.0
2019-01-05 10:00:00+00:00,88.0,439.0,0.0,84.0,21.0
2019-01-05 11:00:00+00:00,89.0,440.0,0.0,84.0,24.0
2019-01-05 12:00:00+00:00,89.0,440.0,0.0,83.0,21.0
2019-01-05 13:00:00+00:00,89.0,440.0,0.0,83.0,14.0
2019-01-05 14:00:00+00:00,89.0,480.0,13.0,83.0,11.0
2019-01-05 15:00:00+00:00,89.0,481.0,403.0,83.0,19.0
2019-01-05 16:00:00+00:00,89.0,481.0,229.0,84.0,15.0
2019-01-05 17:00:00+00:00,89.0,476.0,180.0,84.0,13.0
2019-01-05 18:00:00+00:00,89.0,397.0,4.0,84.0,9.0
2019-01-05 19:00:00+00:00,89.0,480.0,0.0,84.0,9.0
2019-01-05 20:00:00+00:00,89.0,480.0,0.0,85.0,9.0
2019-01-05 21:00:00+00:00,89.0,489.0,0.0,84.0,7.0
2019-01-05 22:00:00+00:00,89.0,489.0,0.0,84.0,4.0
2019-01-05 23:00:00+00:00,88.0,490.0,0.0,83.0,2.0
2019-01-06 00:00:00+00:00,88.0,491.0,0.0,84.0,1.0
2019-01-06 01:00:00+00:00,88.0,491.0,0.0,83.0,1.0
2019-01-06 02:00:00+00:00,86.0,491.0,0.0,83.0,1.0
2019-01-06 03:00:00+00:00,85.0,490.0,0.0,82.0,1.0
2019-01-06 04:00:00+00:00,86.0,490.0,0.0,82.0,0.0
2019-01-06 05:00:00+00:00,87.0,491.0,0.0,82.0,0.0
2019-01-06 06:00:00+00:00,87.0,491.0,0.0,82.0,0.0
2019-01-06 07:00:00+00:00,86.0,491.0,0.0,81.0,0.0
2019-01-06 08:00:00+00:00,86.0,472.0,0.0,81.0,1.0
2019-01-06 09:00:00+00:00,86.0,471.0,0.0,82.0,1.0
2019-01-06 10:00:00+00:00,87.0,470.0,0.0,82.0,0.0
2019-01-06 11:00:00+00:00,88.0,444.0,21.0,83.0,0.0
2019-01-06 12:00:00+00:00,87.0,399.0,61.0,82.0,0.0
2019-01-06 13:00:00+00:00,88.0,403.0,68.0,83.0,0.0
2019-01-06 14:00:00+00:00,88.0,411.0,58.0,83.0,0.0
2019-01-06 15:00:00+00:00,88.0,419.0,171.0,83.0,0.0
2019-01-06 16:00:00+00:00,88.0,431.0,247.0,83.0,2.0
2019-01-06 17:00:00+00:00,88.0,451.0,228.0,83.0,3.0
2019-01-06 18:00:00+00:00,88.0,487.0,155.0,83.0,5.0
2019-01-06 19:00:00+00:00,87.0,492.0,108.0,84.0,7.0
2019-01-06 20:00:00+00:00,87.0,507.0,3.0,85.0,5.0
2019-01-06 21:00:00+00:00,89.0,491.0,0.0,85.0,8.0
2019-01-06 22:00:00+00:00,89.0,492.0,0.0,84.0,10.0
2019-01-06 23:00:00+00:00,89.0,492.0,0.0,84.0,12.0
2019-01-07 00:00:00+00:00,88.0,482.0,0.0,84.0,14.0
2019-01-07 01:00:00+00:00,88.0,463.0,0.0,83.0,16.0
2019-01-07 02:00:00+00:00,88.0,447.0,0.0,83.0,19.0
