datetime,geothermal_actual,avg_geothermal_production_forecast
2020-01-01T00:00:00.000000000,120.0,118.93019
2020-01-01T01:00:00.000000000,120.0,119.10261
2020-01-01T02:00:00.000000000,120.0,117.96835
2020-01-01T03:00:00.000000000,120.0,117.26481
2020-01-01T04:00:00.000000000,119.0,115.05911
2020-01-01T05:00:00.000000000,116.0,114.22563
2020-01-01T06:00:00.000000000,116.0,112.12398
2020-01-01T07:00:00.000000000,116.0,109.30316
2020-01-01T08:00:00.000000000,116.0,107.47308
2020-01-01T09:00:00.000000000,113.0,106.86046
2020-01-01T10:00:00.000000000,112.0,105.64393
2020-01-01T11:00:00.000000000,112.0,104.49503
2020-01-01T12:00:00.000000000,112.0,103.00595
2020-01-01T13:00:00.000000000,112.0,104.43649
2020-01-01T14:00:00.000000000,112.0,103.51215
2020-01-01T15:00:00.000000000,112.0,103.51734
2020-01-01T16:00:00.000000000,112.0,104.43039
2020-01-01T17:00:00.000000000,112.0,106.55284
2020-01-01T18:00:00.000000000,112.0,108.6608
2020-01-01T19:00:00.000000000,112.0,108.4564
2020-01-01T20:00:00.000000000,112.0,111.05721
2020-01-01T21:00:00.000000000,113.0,110.6962
2020-01-01T22:00:00.000000000,117.0,112.63852
2020-01-01T23:00:00.000000000,120.0,111.91876
2020-01-02T00:00:00.000000000,120.0,113.97635
2020-01-02T01:00:00.000000000,120.0,113.08072
2020-01-02T02:00:00.000000000,120.0,112.75966
2020-01-02T03:00:00.000000000,120.0,112.25008
2020-01-02T04:00:00.000000000,119.0,110.47628
2020-01-02T05:00:00.000000000,116.0,108.89793
2020-01-02T06:00:00.000000000,116.0,106.98121
2020-01-02T07:00:00.000000000,116.0,105.09763
2020-01-02T08:00:00.000000000,115.0,104.87465
2020-01-02T09:00:00.000000000,112.0,101.74352
2020-01-02T10:00:00.000000000,110.0,98.49188
2020-01-02T11:00:00.000000000,108.0,97.24888
2020-01-02T12:00:00.000000000,108.0,95.7756
2020-01-02T13:00:00.000000000,108.0,95.88145
2020-01-02T14:00:00.000000000,108.0,97.1229
2020-01-02T15:00:00.000000000,108.0,98.14984
2020-01-02T16:00:00.000000000,112.0,100.91998
2020-01-02T17:00:00.000000000,112.0,102.59227
2020-01-02T18:00:00.000000000,112.0,103.63108
2020-01-02T19:00:00.000000000,116.0,103.88631
2020-01-02T20:00:00.000000000,116.0,104.43878
2020-01-02T21:00:00.000000000,116.0,104.96045
2020-01-02T22:00:00.000000000,119.0,106.72085
2020-01-02T23:00:00.000000000,120.0,107.41712
2020-01-03T00:00:00.000000000,120.0,107.2868
2020-01-03T01:00:00.000000000,120.0,106.71747
2020-01-03T02:00:00.000000000,116.0,106.45222
2020-01-03T03:00:00.000000000,116.0,105.92808
2020-01-03T04:00:00.000000000,114.0,104.14872
2020-01-03T05:00:00.000000000,112.0,102.58471
2020-01-03T06:00:00.000000000,112.0,100.67424
2020-01-03T07:00:00.000000000,112.0,98.66892
2020-01-03T08:00:00.000000000,112.0,98.05357
2020-01-03T09:00:00.000000000,109.0,94.86812
2020-01-03T10:00:00.000000000,104.0,91.59181
2020-01-03T11:00:00.000000000,104.0,90.20802
2020-01-03T12:00:00.000000000,103.0,88.56137
2020-01-03T13:00:00.000000000,100.0,88.38301
2020-01-03T14:00:00.000000000,97.0,89.54544
2020-01-03T15:00:00.000000000,92.0,90.63038
2020-01-03T16:00:00.000000000,92.0,93.29613
2020-01-03T17:00:00.000000000,88.0,95.05027
2020-01-03T18:00:00.000000000,88.0,96.23493
2020-01-03T19:00:00.000000000,92.0,96.87213
2020-01-03T20:00:00.000000000,92.0,97.86923
2020-01-03T21:00:00.000000000,92.0,98.69871
2020-01-03T22:00:00.000000000,96.0,100.67334
2020-01-03T23:00:00.000000000,96.0,101.7088
2020-01-04T00:00:00.000000000,96.0,104.49737
2020-01-04T01:00:00.000000000,96.0,103.34347
2020-01-04T02:00:00.000000000,96.0,102.70205
2020-01-04T03:00:00.000000000,97.0,101.92911
2020-01-04T04:00:00.000000000,96.0,100.14152
2020-01-04T05:00:00.000000000,94.0,98.47372
2020-01-04T06:00:00.000000000,92.0,96.69674
2020-01-04T07:00:00.000000000,94.0,95.1899
2020-01-04T08:00:00.000000000,93.0,95.16243
2020-01-04T09:00:00.000000000,96.0,92.80689
2020-01-04T10:00:00.000000000,96.0,90.47669
2020-01-04T11:00:00.000000000,96.0,89.98623
2020-01-04T12:00:00.000000000,96.0,89.3196
2020-01-04T13:00:00.000000000,96.0,89.97077
2020-01-04T14:00:00.000000000,96.0,91.59502
2020-01-04T15:00:00.000000000,96.0,92.93225
2020-01-04T16:00:00.000000000,96.0,95.63709
2020-01-04T17:00:00.000000000,96.0,97.34999
2020-01-04T18:00:00.000000000,96.0,98.40881
2020-01-04T19:00:00.000000000,96.0,98.59877
2020-01-04T20:00:00.000000000,96.0,98.98068
2020-01-04T21:00:00.000000000,96.0,99.21821
2020-01-04T22:00:00.000000000,100.0,100.40853
2020-01-04T23:00:00.000000000,100.0,100.63252
2020-01-02T00:00:00.000000000,120.0,118.86864
2020-01-02T01:00:00.000000000,120.0,119.35669
2020-01-02T02:00:00.000000000,120.0,118.69873
2020-01-02T03:00:00.000000000,120.0,118.10276
2020-01-02T04:00:00.000000000,119.0,116.17151
2020-01-02T05:00:00.000000000,116.0,115.95123
2020-01-02T06:00:00.000000000,116.0,114.07796
2020-01-02T07:00:00.000000000,116.0,111.6269
2020-01-02T08:00:00.000000000,115.0,110.15432
2020-01-02T09:00:00.000000000,112.0,110.01722
2020-01-02T10:00:00.000000000,110.0,108.76921
2020-01-02T11:00:00.000000000,108.0,107.63736
2020-01-02T12:00:00.000000000,108.0,106.15748
2020-01-02T13:00:00.000000000,108.0,107.30351
2020-01-02T14:00:00.000000000,108.0,106.42191
2020-01-02T15:00:00.000000000,108.0,105.93638
2020-01-02T16:00:00.000000000,112.0,106.56741
2020-01-02T17:00:00.000000000,112.0,108.20803
2020-01-02T18:00:00.000000000,112.0,110.13587
2020-01-02T19:00:00.000000000,116.0,109.64164
2020-01-02T20:00:00.000000000,116.0,112.44753
2020-01-02T21:00:00.000000000,116.0,111.37686
2020-01-02T22:00:00.000000000,119.0,113.43918
2020-01-02T23:00:00.000000000,120.0,112.76326
2020-01-03T00:00:00.000000000,120.0,112.4967
2020-01-03T01:00:00.000000000,120.0,111.80874
2020-01-03T02:00:00.000000000,116.0,111.57513
2020-01-03T03:00:00.000000000,116.0,111.10798
2020-01-03T04:00:00.000000000,114.0,109.33406
2020-01-03T05:00:00.000000000,112.0,107.77951
2020-01-03T06:00:00.000000000,112.0,105.83957
2020-01-03T07:00:00.000000000,112.0,103.82578
2020-01-03T08:00:00.000000000,112.0,103.37471
2020-01-03T09:00:00.000000000,109.0,100.07125
2020-01-03T10:00:00.000000000,104.0,96.63432
2020-01-03T11:00:00.000000000,104.0,95.18117
2020-01-03T12:00:00.000000000,103.0,93.47166
2020-01-03T13:00:00.000000000,100.0,93.33639
2020-01-03T14:00:00.000000000,97.0,94.46732
2020-01-03T15:00:00.000000000,92.0,95.46419
2020-01-03T16:00:00.000000000,92.0,98.19571
2020-01-03T17:00:00.000000000,88.0,99.90027
2020-01-03T18:00:00.000000000,88.0,101.00644
2020-01-03T19:00:00.000000000,92.0,101.46021
2020-01-03T20:00:00.000000000,92.0,102.26157
2020-01-03T21:00:00.000000000,92.0,102.98677
2020-01-03T22:00:00.000000000,96.0,104.95883
2020-01-03T23:00:00.000000000,96.0,105.90931
2020-01-04T00:00:00.000000000,96.0,107.08713
2020-01-04T01:00:00.000000000,96.0,106.09004
2020-01-04T02:00:00.000000000,96.0,105.58396
2020-01-04T03:00:00.000000000,97.0,104.91202
2020-01-04T04:00:00.000000000,96.0,103.12891
2020-01-04T05:00:00.000000000,94.0,101.49868
2020-01-04T06:00:00.000000000,92.0,99.66786
2020-01-04T07:00:00.000000000,94.0,97.99235
2020-01-04T08:00:00.000000000,93.0,97.82152
2020-01-04T09:00:00.000000000,96.0,95.15203
2020-01-04T10:00:00.000000000,96.0,92.45561
2020-01-04T11:00:00.000000000,96.0,91.6456
2020-01-04T12:00:00.000000000,96.0,90.63262
2020-01-04T13:00:00.000000000,96.0,91.02133
2020-01-04T14:00:00.000000000,96.0,92.48177
2020-01-04T15:00:00.000000000,96.0,93.70693
2020-01-04T16:00:00.000000000,96.0,96.41972
2020-01-04T17:00:00.000000000,96.0,98.13054
2020-01-04T18:00:00.000000000,96.0,99.20624
2020-01-04T19:00:00.000000000,96.0,99.48663
2020-01-04T20:00:00.000000000,96.0,100.01096
2020-01-04T21:00:00.000000000,96.0,100.41235
2020-01-04T22:00:00.000000000,100.0,101.86298
2020-01-04T23:00:00.000000000,100.0,102.33006
2020-01-05T00:00:00.000000000,100.0,103.85289
2020-01-05T01:00:00.000000000,103.0,102.69104
2020-01-05T02:00:00.000000000,103.0,102.03316
2020-01-05T03:00:00.000000000,102.0,101.24555
2020-01-05T04:00:00.000000000,100.0,99.45711
2020-01-05T05:00:00.000000000,100.0,97.78468
2020-01-05T06:00:00.000000000,96.0,96.01545
2020-01-05T07:00:00.000000000,99.0,94.52691
2020-01-05T08:00:00.000000000,96.0,94.50272
2020-01-05T09:00:00.000000000,96.0,92.18854
2020-01-05T10:00:00.000000000,96.0,89.90824
2020-01-05T11:00:00.000000000,96.0,89.45625
2020-01-05T12:00:00.000000000,96.0,88.83044
2020-01-05T13:00:00.000000000,96.0,89.50605
2020-01-05T14:00:00.000000000,96.0,91.14973
2020-01-05T15:00:00.000000000,97.0,92.50502
2020-01-05T16:00:00.000000000,100.0,95.20432
2020-01-05T17:00:00.000000000,100.0,96.92097
2020-01-05T18:00:00.000000000,100.0,97.98365
2020-01-05T19:00:00.000000000,100.0,98.17726
2020-01-05T20:00:00.000000000,100.0,98.55824
2020-01-05T21:00:00.000000000,101.0,98.78607
2020-01-05T22:00:00.000000000,104.0,99.94926
2020-01-05T23:00:00.000000000,105.0,100.15385
2020-01-03T00:00:00.000000000,120.0,120.2677
2020-01-03T01:00:00.000000000,120.0,120.53284
2020-01-03T02:00:00.000000000,116.0,119.7691
2020-01-03T03:00:00.000000000,116.0,119.11442
2020-01-03T04:00:00.000000000,114.0,117.06457
2020-01-03T05:00:00.000000000,112.0,116.67155
2020-01-03T06:00:00.000000000,112.0,114.51195
2020-01-03T07:00:00.000000000,112.0,112.0066
2020-01-03T08:00:00.000000000,112.0,110.25619
2020-01-03T09:00:00.000000000,109.0,109.89813
2020-01-03T10:00:00.000000000,104.0,108.68462
2020-01-03T11:00:00.000000000,104.0,107.52884
2020-01-03T12:00:00.000000000,103.0,106.04778
2020-01-03T13:00:00.000000000,100.0,107.2303
2020-01-03T14:00:00.000000000,97.0,106.32955
2020-01-03T15:00:00.000000000,92.0,106.01313
2020-01-03T16:00:00.000000000,92.0,106.75244
2020-01-03T17:00:00.000000000,88.0,108.67701
2020-01-03T18:00:00.000000000,88.0,110.57259
2020-01-03T19:00:00.000000000,92.0,110.27693
2020-01-03T20:00:00.000000000,92.0,112.94625
2020-01-03T21:00:00.000000000,92.0,112.1991
2020-01-03T22:00:00.000000000,96.0,114.17288
2020-01-03T23:00:00.000000000,96.0,113.50259
2020-01-04T00:00:00.000000000,96.0,114.68424
2020-01-04T01:00:00.000000000,96.0,113.5438
2020-01-04T02:00:00.000000000,96.0,113.10027
2020-01-04T03:00:00.000000000,97.0,112.52142
2020-01-04T04:00:00.000000000,96.0,110.7465
2020-01-04T05:00:00.000000000,94.0,109.13458
2020-01-04T06:00:00.000000000,92.0,107.2554
2020-01-04T07:00:00.000000000,94.0,105.54497
2020-01-04T08:00:00.000000000,93.0,105.58279
2020-01-04T09:00:00.000000000,96.0,102.70618
2020-01-04T10:00:00.000000000,96.0,99.73622
2020-01-04T11:00:00.000000000,96.0,98.78591
2020-01-04T12:00:00.000000000,96.0,97.63804
2020-01-04T13:00:00.000000000,96.0,98.0506
2020-01-04T14:00:00.000000000,96.0,99.44479
2020-01-04T15:00:00.000000000,96.0,100.53214
2020-01-04T16:00:00.000000000,96.0,103.33745
2020-01-04T17:00:00.000000000,96.0,104.97907
2020-01-04T18:00:00.000000000,96.0,105.94798
2020-01-04T19:00:00.000000000,96.0,105.98582
2020-01-04T20:00:00.000000000,96.0,106.25763
2020-01-04T21:00:00.000000000,96.0,106.53656
2020-01-04T22:00:00.000000000,100.0,108.01935
2020-01-04T23:00:00.000000000,100.0,108.40169
2020-01-05T00:00:00.000000000,100.0,108.7305
2020-01-05T01:00:00.000000000,103.0,107.64819
2020-01-05T02:00:00.000000000,103.0,107.12558
2020-01-05T03:00:00.000000000,102.0,106.45553
2020-01-05T04:00:00.000000000,100.0,104.67375
2020-01-05T05:00:00.000000000,100.0,103.03922
2020-01-05T06:00:00.000000000,96.0,101.20778
2020-01-05T07:00:00.000000000,99.0,99.56604
2020-01-05T08:00:00.000000000,96.0,99.49688
2020-01-05T09:00:00.000000000,96.0,96.84672
2020-01-05T10:00:00.000000000,96.0,94.16308
2020-01-05T11:00:00.000000000,96.0,93.39435
2020-01-05T12:00:00.000000000,96.0,92.43136
2020-01-05T13:00:00.000000000,96.0,92.89655
2020-01-05T14:00:00.000000000,96.0,94.37989
2020-01-05T15:00:00.000000000,97.0,95.5924
2020-01-05T16:00:00.000000000,100.0,98.33141
2020-01-05T17:00:00.000000000,100.0,100.02159
2020-01-05T18:00:00.000000000,100.0,101.06015
2020-01-05T19:00:00.000000000,100.0,101.24244
2020-01-05T20:00:00.000000000,100.0,101.65192
2020-01-05T21:00:00.000000000,101.0,101.97263
2020-01-05T22:00:00.000000000,104.0,103.3645
2020-01-05T23:00:00.000000000,105.0,103.74156
2020-01-06T00:00:00.000000000,108.0,105.07776
2020-01-06T01:00:00.000000000,106.0,104.05785
2020-01-06T02:00:00.000000000,104.0,103.50155
2020-01-06T03:00:00.000000000,104.0,102.78454
2020-01-06T04:00:00.000000000,103.0,100.99877
2020-01-06T05:00:00.000000000,100.0,99.35444
2020-01-06T06:00:00.000000000,100.0,97.54744
2020-01-06T07:00:00.000000000,100.0,95.92746
2020-01-06T08:00:00.000000000,100.0,95.76479
2020-01-06T09:00:00.000000000,100.0,93.22195
2020-01-06T10:00:00.000000000,98.0,90.67849
2020-01-06T11:00:00.000000000,96.0,89.98584
2020-01-06T12:00:00.000000000,96.0,89.09725
2020-01-06T13:00:00.000000000,96.0,89.55956
2020-01-06T14:00:00.000000000,96.0,91.07924
2020-01-06T15:00:00.000000000,96.0,92.36007
2020-01-06T16:00:00.000000000,98.0,95.05536
2020-01-06T17:00:00.000000000,100.0,96.77812
2020-01-06T18:00:00.000000000,103.0,97.86633
2020-01-06T19:00:00.000000000,105.0,98.15975
2020-01-06T20:00:00.000000000,108.0,98.68338
2020-01-06T21:00:00.000000000,109.0,99.05645
2020-01-06T22:00:00.000000000,112.0,100.42493
2020-01-06T23:00:00.000000000,115.0,100.83411
2020-01-04T00:00:00.000000000,96.0,99.46994
2020-01-04T01:00:00.000000000,96.0,101.06628
2020-01-04T02:00:00.000000000,96.0,100.84031
2020-01-04T03:00:00.000000000,97.0,101.33581
2020-01-04T04:00:00.000000000,96.0,100.17487
2020-01-04T05:00:00.000000000,94.0,100.00835
2020-01-04T06:00:00.000000000,92.0,99.33665
2020-01-04T07:00:00.000000000,94.0,96.93934
2020-01-04T08:00:00.000000000,93.0,96.12831
2020-01-04T09:00:00.000000000,96.0,96.09804
2020-01-04T10:00:00.000000000,96.0,94.79396
2020-01-04T11:00:00.000000000,96.0,93.8628
2020-01-04T12:00:00.000000000,96.0,91.85868
2020-01-04T13:00:00.000000000,96.0,92.94783
2020-01-04T14:00:00.000000000,96.0,92.0209
2020-01-04T15:00:00.000000000,96.0,91.65317
2020-01-04T16:00:00.000000000,96.0,92.11343
2020-01-04T17:00:00.000000000,96.0,93.45545
2020-01-04T18:00:00.000000000,96.0,95.27176
2020-01-04T19:00:00.000000000,96.0,94.73848
2020-01-04T20:00:00.000000000,96.0,97.53692
2020-01-04T21:00:00.000000000,96.0,97.13396
2020-01-04T22:00:00.000000000,100.0,99.25092
2020-01-04T23:00:00.000000000,100.0,99.21811
2020-01-05T00:00:00.000000000,100.0,100.90627
2020-01-05T01:00:00.000000000,103.0,99.87087
2020-01-05T02:00:00.000000000,103.0,99.22799
2020-01-05T03:00:00.000000000,102.0,98.42813
2020-01-05T04:00:00.000000000,100.0,96.6371
2020-01-05T05:00:00.000000000,100.0,94.96836
2020-01-05T06:00:00.000000000,96.0,93.20502
2020-01-05T07:00:00.000000000,99.0,91.67604
2020-01-05T08:00:00.000000000,96.0,91.49704
2020-01-05T09:00:00.000000000,96.0,89.17939
2020-01-05T10:00:00.000000000,96.0,86.91116
2020-01-05T11:00:00.000000000,96.0,86.42002
2020-01-05T12:00:00.000000000,96.0,85.74309
2020-01-05T13:00:00.000000000,96.0,86.31624
2020-01-05T14:00:00.000000000,96.0,87.93699
2020-01-05T15:00:00.000000000,97.0,89.3233
2020-01-05T16:00:00.000000000,100.0,91.9786
2020-01-05T17:00:00.000000000,100.0,93.72949
2020-01-05T18:00:00.000000000,100.0,94.85194
2020-01-05T19:00:00.000000000,100.0,95.19924
2020-01-05T20:00:00.000000000,100.0,95.75687
2020-01-05T21:00:00.000000000,101.0,96.103
2020-01-05T22:00:00.000000000,104.0,97.3396
2020-01-05T23:00:00.000000000,105.0,97.67073
2020-01-06T00:00:00.000000000,108.0,99.59376
2020-01-06T01:00:00.000000000,106.0,98.59512
2020-01-06T02:00:00.000000000,104.0,97.94808
2020-01-06T03:00:00.000000000,104.0,97.13619
