UTC Time,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2019-01-01 00:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,438.0
2019-01-01 01:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,436.0
2019-01-01 02:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,452.0
2019-01-01 03:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,457.0
2019-01-01 04:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,460.0
2019-01-01 05:00:00+00:00,56.0,44.0,40.0,19.0,0.0,19.0,458.0
2019-01-01 06:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,458.0
2019-01-01 07:00:00+00:00,57.0,44.0,40.0,19.0,0.0,19.0,457.0
2019-01-01 08:00:00+00:00,57.0,44.0,40.0,18.0,1.0,19.0,452.0
2019-01-01 09:00:00+00:00,57.0,44.0,40.0,18.0,2.0,19.0,450.0
2019-01-01 10:00:00+00:00,57.0,44.0,40.0,18.0,2.0,19.0,450.0
2019-01-01 11:00:00+00:00,57.0,44.0,40.0,18.0,2.0,19.0,451.0
2019-01-01 12:00:00+00:00,57.0,44.0,40.0,18.0,2.0,19.0,449.0
2019-01-01 13:00:00+00:00,57.0,44.0,39.0,18.0,2.0,19.0,451.0
2019-01-01 14:00:00+00:00,57.0,44.0,40.0,18.0,0.0,19.0,441.0
2019-01-01 15:00:00+00:00,56.0,44.0,40.0,18.0,0.0,19.0,416.0
2019-01-01 16:00:00+00:00,56.0,44.0,40.0,18.0,0.0,19.0,400.0
2019-01-01 17:00:00+00:00,56.0,44.0,39.0,18.0,0.0,19.0,385.0
2019-01-01 18:00:00+00:00,56.0,44.0,65.0,18.0,0.0,19.0,349.0
2019-01-01 19:00:00+00:00,56.0,44.0,65.0,18.0,0.0,19.0,278.0
2019-01-01 20:00:00+00:00,56.0,44.0,39.0,18.0,0.0,19.0,210.0
2019-01-01 21:00:00+00:00,56.0,44.0,39.0,19.0,0.0,19.0,156.0
2019-01-01 22:00:00+00:00,55.0,44.0,39.0,19.0,0.0,19.0,166.0
2019-01-01 23:00:00+00:00,55.0,44.0,39.0,18.0,0.0,19.0,170.0
2019-01-02 00:00:00+00:00,55.0,44.0,39.0,18.0,0.0,19.0,219.0
2019-01-02 01:00:00+00:00,55.0,44.0,39.0,18.0,0.0,19.0,262.0
2019-01-02 02:00:00+00:00,55.0,44.0,39.0,18.0,0.0,19.0,330.0
2019-01-02 03:00:00+00:00,56.0,44.0,39.0,18.0,0.0,19.0,349.0
2019-01-02 04:00:00+00:00,56.0,44.0,62.0,18.0,0.0,19.0,327.0
2019-01-02 05:00:00+00:00,57.0,44.0,89.0,19.0,0.0,19.0,334.0
2019-01-02 06:00:00+00:00,57.0,43.0,113.0,19.0,0.0,19.0,375.0
2019-01-02 07:00:00+00:00,57.0,40.0,113.0,18.0,1.0,19.0,403.0
2019-01-02 08:00:00+00:00,57.0,40.0,113.0,18.0,1.0,19.0,419.0
2019-01-02 09:00:00+00:00,57.0,40.0,113.0,20.0,2.0,19.0,422.0
2019-01-02 10:00:00+00:00,57.0,40.0,113.0,19.0,2.0,19.0,426.0
2019-01-02 11:00:00+00:00,57.0,40.0,113.0,19.0,2.0,19.0,423.0
2019-01-02 12:00:00+00:00,57.0,40.0,113.0,18.0,2.0,19.0,421.0
2019-01-02 13:00:00+00:00,57.0,40.0,113.0,19.0,2.0,19.0,426.0
2019-01-02 14:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,426.0
2019-01-02 15:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,429.0
2019-01-02 16:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,446.0
2019-01-02 17:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,463.0
2019-01-02 18:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,450.0
2019-01-02 19:00:00+00:00,57.0,40.0,113.0,19.0,0.0,19.0,452.0
2019-01-02 20:00:00+00:00,57.0,40.0,90.0,19.0,0.0,19.0,466.0
2019-01-02 21:00:00+00:00,57.0,40.0,62.0,20.0,0.0,19.0,471.0
2019-01-02 22:00:00+00:00,57.0,40.0,39.0,19.0,0.0,19.0,457.0
2019-01-02 23:00:00+00:00,57.0,40.0,87.0,19.0,0.0,19.0,456.0
2019-01-03 00:00:00+00:00,57.0,40.0,66.0,19.0,0.0,19.0,459.0
2019-01-03 01:00:00+00:00,57.0,40.0,67.0,19.0,0.0,18.0,442.0
2019-01-03 02:00:00+00:00,57.0,40.0,63.0,20.0,0.0,19.0,436.0
2019-01-03 03:00:00+00:00,57.0,39.0,63.0,20.0,0.0,19.0,442.0
2019-01-03 04:00:00+00:00,57.0,39.0,69.0,20.0,0.0,19.0,434.0
2019-01-03 05:00:00+00:00,57.0,39.0,90.0,21.0,0.0,19.0,439.0
2019-01-03 06:00:00+00:00,57.0,39.0,113.0,22.0,0.0,19.0,435.0
2019-01-03 07:00:00+00:00,57.0,39.0,113.0,22.0,1.0,19.0,421.0
2019-01-03 08:00:00+00:00,57.0,39.0,113.0,22.0,1.0,19.0,400.0
2019-01-03 09:00:00+00:00,57.0,39.0,113.0,21.0,2.0,19.0,399.0
2019-01-03 10:00:00+00:00,57.0,39.0,113.0,21.0,2.0,19.0,401.0
2019-01-03 11:00:00+00:00,57.0,39.0,113.0,20.0,2.0,19.0,385.0
2019-01-03 12:00:00+00:00,57.0,39.0,113.0,20.0,2.0,19.0,356.0
2019-01-03 13:00:00+00:00,57.0,40.0,113.0,21.0,2.0,19.0,311.0
