,UTC time,carbon_intensity,biomass,coal,nat_gas,geothermal,hydro,nuclear,oil,solar,wind,unknown
13128,2021-07-01 00:00:00+00:00,407.5,20294,64627,25019,72,9346,26479,1636,0,29954,1515
13129,2021-07-01 01:00:00+00:00,350.32,19354,59689,16829,72,9270,26507,1638,0,50281,1512
13130,2021-07-01 02:00:00+00:00,349.95,19338,60177,17423,72,9852,26505,1636,0,50848,1512
13131,2021-07-01 03:00:00+00:00,345.77,19279,61367,16805,72,9702,26490,1637,57,54740,1512
13132,2021-07-01 04:00:00+00:00,346.25,19281,64619,19743,72,9394,26502,1640,932,59817,1512
13133,2021-07-01 05:00:00+00:00,355.38,19282,70254,24138,72,9143,26522,1652,4489,60770,1512
13134,2021-07-01 06:00:00+00:00,354.73,19337,72291,28630,72,9889,26555,1658,10609,59424,1512
13135,2021-07-01 07:00:00+00:00,351.02,19479,72987,29698,72,9985,26519,1657,17317,57187,1513
13136,2021-07-01 08:00:00+00:00,345.19,19638,73702,29747,72,9961,26502,1652,25256,55199,1516
13137,2021-07-01 09:00:00+00:00,334.43,20544,73269,29903,70,9752,26485,1648,34885,54027,1516
13138,2021-07-01 10:00:00+00:00,328.86,20740,74389,30090,63,9669,26479,1701,42789,53298,1516
13139,2021-07-01 11:00:00+00:00,320.63,20774,73389,29475,60,9710,26454,1717,47443,54129,1516
13140,2021-07-01 12:00:00+00:00,320.7,20816,72559,30838,60,9630,26443,1702,47735,53269,1513
13141,2021-07-01 13:00:00+00:00,322.15,20856,72257,30953,60,10149,26418,1638,46157,52474,1512
13142,2021-07-01 14:00:00+00:00,330.44,20802,72303,31548,60,9796,26393,1639,41477,50593,1512
13143,2021-07-01 15:00:00+00:00,344.61,20759,72128,33061,67,9831,26394,1637,34423,46427,1512
13144,2021-07-01 16:00:00+00:00,368.14,20739,73719,33965,72,10008,26415,1638,25018,40848,1512
13145,2021-07-01 17:00:00+00:00,393.07,20762,76012,33339,72,10099,26421,1638,15953,36144,1512
13146,2021-07-01 18:00:00+00:00,416.16,20776,76886,32646,72,10136,26445,1640,7703,31733,1513
13147,2021-07-01 19:00:00+00:00,433.91,20728,75982,32588,72,10085,26460,1640,2042,27365,1512
13148,2021-07-01 20:00:00+00:00,440.53,20755,74391,32672,72,9848,26488,1638,92,24896,1512
13149,2021-07-01 21:00:00+00:00,437.71,20701,71909,32583,72,9830,26501,1636,0,24046,1512
13150,2021-07-01 22:00:00+00:00,431.94,20750,68967,31297,72,9539,26470,1639,0,24034,1513
13151,2021-07-01 23:00:00+00:00,426.7,20661,66721,28850,72,9656,26469,1636,0,23790,1516
13152,2021-07-02 00:00:00+00:00,436.4,20814,64741,20806,72,9014,26538,1655,0,17370,1480
13153,2021-07-02 01:00:00+00:00,425.75,20623,65459,26922,72,9237,26471,1640,0,23140,1537
13154,2021-07-02 02:00:00+00:00,424.85,20619,65333,26666,72,9251,26465,1638,0,23359,1544
13155,2021-07-02 03:00:00+00:00,425,20448,65506,27238,72,8972,26476,1639,63,23835,1544
13156,2021-07-02 04:00:00+00:00,430.24,20437,68172,30281,72,9205,26488,1640,1266,23215,1549
13157,2021-07-02 05:00:00+00:00,431.57,20274,72784,32151,72,9767,26511,1637,7225,21188,1549
13158,2021-07-02 06:00:00+00:00,416.16,20353,75279,33081,72,9584,26527,1641,19450,20118,1548
13159,2021-07-02 07:00:00+00:00,391.5,20395,76474,32503,72,9103,26547,1636,36476,19690,1548
13160,2021-07-02 08:00:00+00:00,364.44,20350,75907,32626,70,9076,26550,1636,53595,20759,1548
13161,2021-07-02 09:00:00+00:00,342.51,20427,73622,32573,68,8968,26515,1637,67419,21168,1548
13162,2021-07-02 10:00:00+00:00,325.3,20519,71699,32569,68,9139,26489,1640,78971,21578,1548
13163,2021-07-02 11:00:00+00:00,311.58,20559,70117,32176,64,9143,26469,1637,86720,23865,1548
13164,2021-07-02 12:00:00+00:00,301.71,20600,68718,31334,64,9206,26433,1637,90822,26416,1548
13165,2021-07-02 13:00:00+00:00,299,20451,67933,29400,64,9189,26439,1638,90850,26336,1548
13166,2021-07-02 14:00:00+00:00,302.88,20448,67801,28089,64,8942,26437,1639,85759,26360,1548
13167,2021-07-02 15:00:00+00:00,315.5,20651,68670,27933,64,9055,26404,1638,74778,26262,1548
13168,2021-07-02 16:00:00+00:00,340.29,20676,70286,29247,64,9264,26385,1637,58004,24715,1548
13169,2021-07-02 17:00:00+00:00,374.22,20706,70490,30648,64,9632,26399,1641,35708,22658,1548
13170,2021-07-02 18:00:00+00:00,416.88,20758,71225,31770,64,9848,26410,1639,16067,18270,1548
13171,2021-07-02 19:00:00+00:00,449.57,20719,71696,32061,67,9628,26469,1638,4291,14982,1518
13172,2021-07-02 20:00:00+00:00,454.61,20752,71673,30824,69,9639,26505,1641,196,16485,1488
13173,2021-07-02 21:00:00+00:00,454.2,20695,72087,29426,72,9295,26537,1646,0,17391,1488
13174,2021-07-02 22:00:00+00:00,450.82,20827,70126,27448,72,9384,26529,1653,0,16799,1485
13175,2021-07-02 23:00:00+00:00,442.16,20893,66202,20061,72,9248,26531,1656,0,16163,1524
13176,2021-07-03 00:00:00+00:00,454.34,21075,63239,15785,70,8669,26375,1662,0,9496,1435
13177,2021-07-03 01:00:00+00:00,438.37,20731,62686,16076,72,8754,26546,1657,0,14491,1468
