UTC time,nat_gas,hydro,biomass,unknown,wind
2019-01-01 00:00,0.0,48.0,76.0,81.0,54.0
2019-01-01 01:00,0.0,25.0,77.0,81.0,54.0
2019-01-01 02:00,0.0,4.0,76.0,80.0,52.0
2019-01-01 03:00,0.0,48.0,77.0,80.0,50.0
2019-01-01 04:00,0.0,48.0,77.0,79.0,50.0
2019-01-01 05:00,1.0,48.0,80.0,83.0,51.0
2019-01-01 06:00,1.0,48.0,80.0,83.0,50.0
2019-01-01 07:00,1.0,48.0,80.0,83.0,50.0
2019-01-01 08:00,1.0,12.0,80.0,83.0,50.0
2019-01-01 09:00,1.0,52.0,80.0,83.0,48.0
2019-01-01 10:00,1.0,37.0,80.0,83.0,47.0
2019-01-01 11:00,1.0,52.0,80.0,83.0,47.0
2019-01-01 12:00,1.0,39.0,79.0,83.0,45.0
2019-01-01 13:00,1.0,52.0,79.0,83.0,39.0
2019-01-01 14:00,1.0,61.0,79.0,83.0,36.0
2019-01-01 15:00,1.0,21.0,79.0,83.0,26.0
2019-01-01 16:00,1.0,48.0,80.0,84.0,14.0
2019-01-01 17:00,1.0,48.0,80.0,84.0,21.0
2019-01-01 18:00,1.0,48.0,78.0,81.0,19.0
2019-01-01 19:00,1.0,48.0,81.0,84.0,19.0
2019-01-01 20:00,1.0,48.0,81.0,84.0,25.0
2019-01-01 21:00,0.0,48.0,81.0,84.0,32.0
2019-01-01 22:00,0.0,6.0,81.0,84.0,35.0
2019-01-01 23:00,0.0,0.0,78.0,83.0,44.0
2019-01-02 00:00,0.0,0.0,78.0,82.0,47.0
2019-01-02 01:00,0.0,0.0,79.0,84.0,45.0
2019-01-02 02:00,0.0,0.0,80.0,83.0,46.0
2019-01-02 03:00,4.0,0.0,80.0,83.0,47.0
2019-01-02 04:00,42.0,89.0,81.0,83.0,45.0
2019-01-02 05:00,90.0,48.0,82.0,83.0,45.0
2019-01-02 06:00,154.0,164.0,83.0,83.0,41.0
2019-01-02 07:00,100.0,218.0,84.0,83.0,31.0
